Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,17243801228,17243801228,36551,2649600,10170000,5985400,2649600,1535000,0.588535,0,0,0,1
2,17191907510,17191907510,36527,2636800,10170000,5987000,2636800,1546200,0.588692,0,0,0,1
3,17245032268,17245032268,36516,2655000,10170000,5975700,2655000,1539300,0.587581,0,0,0,1
4,17229861801,17229861801,36519,2670400,10170000,5968600,2670400,1531000,0.586883,0,0,0,1
5,17315001739,17315001739,36514,2664000,10170000,5970800,2664000,1535200,0.587099,0,0,0,1
6,17228239586,17228239586,36512,2646800,10170000,5979000,2646800,1544200,0.587906,0,0,0,1
7,17288361429,17288361429,36498,2671800,10170000,5963700,2671800,1534500,0.586401,0,0,0,1
8,17213717298,17213717298,36511,2621400,10170000,5991500,2621400,1557100,0.589135,0,0,0,1
9,17285288700,17285288700,36494,2677400,10170000,5960100,2677400,1532500,0.586047,0,0,0,1
10,17268155339,17268155339,36496,2660400,10170000,5969000,2660400,1540600,0.586922,0,0,0,1
11,17281409485,17281409485,36493,2657200,10170000,5970000,2657200,1542800,0.587021,0,0,0,1
12,17260854110,17260854110,36509,2673800,10170000,5964900,2673800,1531300,0.586519,0,0,0,1
13,17304330115,17304330115,36515,2669400,10170000,5968300,2669400,1532300,0.586853,0,0,0,1
14,17265625063,17265625063,36499,2671000,10170000,5964300,2671000,1534700,0.58646,0,0,0,1
15,17286263579,17286263579,36485,2675600,10170000,5959200,2675600,1535200,0.585959,0,0,0,1
16,17278184703,17278184703,36494,2655000,10170000,5971300,2655000,1543700,0.587148,0,0,0,1
17,17275211067,17275211067,36515,2649400,10170000,5978300,2649400,1542300,0.587837,0,0,0,1
18,17311278643,17311278643,36515,2663800,10170000,5971100,2663800,1535100,0.587129,0,0,0,1
19,17297748294,17297748294,36500,2690800,10170000,5954600,2690800,1524600,0.585506,0,0,0,1
20,17254517157,17254517157,36506,2648400,10170000,5977000,2648400,1544600,0.587709,0,0,0,1
21,17296085082,17296085082,36520,2658200,10170000,5974900,2658200,1536900,0.587502,0,0,0,1
22,17280695890,17280695890,36490,2663000,10170000,5966500,2663000,1540500,0.586676,0,0,0,1
23,17305657634,17305657634,36499,2656000,10170000,5971800,2656000,1542200,0.587198,0,0,0,1
24,17290060271,17290060271,36511,2672800,10170000,5965800,2672800,1531400,0.586608,0,0,0,1
25,17311035239,17311035239,36484,2665600,10170000,5964000,2665600,1540400,0.586431,0,0,0,1
26,17300296658,17300296658,36524,2634800,10170000,5987400,2634800,1547800,0.588732,0,0,0,1
27,17302916083,17302916083,36515,2680400,10170000,5962800,2680400,1526800,0.586313,0,0,0,1
28,17308306235,17308306235,36511,2684800,10170000,5959800,2684800,1525400,0.586018,0,0,0,1
29,17340147278.322376,17340147037,36485,2679000,10170000,5957500,2679000,1533500,0.585792,241.322375,3.1e-5,1,1
30,17301854758,17301854758,36518,2660000,10170000,5973600,2660000,1536400,0.587375,0,0,0,1
31,17268862441,17268862441,36504,2645400,10170000,5978100,2645400,1546500,0.587817,0,0,0,1
32,17333487651,17333487651,36497,2672200,10170000,5963300,2672200,1534500,0.586362,0,0,0,1
33,17223837445,17223837445,36529,2638600,10170000,5986500,2638600,1544900,0.588643,0,0,0,1
34,17270928701,17270928701,36531,2662000,10170000,5975200,2662000,1532800,0.587532,0,0,0,1
35,17243895361,17243895361,36505,2682600,10170000,5959700,2682600,1527700,0.586008,0,0,0,1
36,17255510060,17255510060,36516,2647800,10170000,5979300,2647800,1542900,0.587935,0,0,0,1
37,17229868823,17229868823,36509,2642000,10170000,5980800,2642000,1547200,0.588083,0,0,0,1
38,17292241532,17292241532,36505,2666000,10170000,5968000,2666000,1536000,0.586824,0,0,0,1
39,17279677832,17279677832,36496,2656800,10170000,5970800,2656800,1542400,0.587099,0,0,0,1
40,17217600222.242844,17217600208,36496,2659600,10170000,5969400,2659600,1541000,0.586962,14.242844,0,1,1
41,17268735581,17268735581,36491,2651000,10170000,5972700,2651000,1546300,0.587286,0,0,0,1
42,17242743929,17242743929,36520,2656600,10170000,5975700,2656600,1537700,0.587581,0,0,0,1
43,17277890183,17277890183,36477,2673600,10170000,5958600,2673600,1537800,0.5859,0,0,0,1
44,17183015390,17183015390,36527,2618400,10170000,5996200,2618400,1555400,0.589597,0,0,0,1
45,17256974332,17256974332,36475,2682000,10170000,5954000,2682000,1534000,0.585447,0,0,0,1
46,17276051589,17276051589,36516,2659600,10170000,5973400,2659600,1537000,0.587355,0,0,0,1
47,17275413195,17275413195,36498,2664600,10170000,5967300,2664600,1538100,0.586755,0,0,0,1
48,17221871944,17221871944,36507,2635600,10170000,5983600,2635600,1550800,0.588358,0,0,0,1
49,17272383523,17272383523,36501,2657000,10170000,5971700,2657000,1541300,0.587188,0,0,0,1
50,17260494594,17260494594,36518,2641800,10170000,5982700,2641800,1545500,0.588269,0,0,0,1
51,17241081440,17241081440,36511,2640800,10170000,5981800,2640800,1547400,0.588181,0,0,0,1
52,17230918753,17230918753,36502,2672800,10170000,5964000,2672800,1533200,0.586431,0,0,0,1
53,17239357638,17239357638,36492,2644800,10170000,5976000,2644800,1549200,0.587611,0,0,0,1
54,17282461334,17282461334,36505,2657200,10170000,5972400,2657200,1540400,0.587257,0,0,0,1
55,17253596497,17253596497,36509,2670400,10170000,5966600,2670400,1533000,0.586686,0,0,0,1
56,17222826259,17222826259,36526,2635200,10170000,5987600,2635200,1547200,0.588751,0,0,0,1
57,17257116376,17257116376,36517,2655600,10170000,5975600,2655600,1538800,0.587571,0,0,0,1
58,17253008985,17253008985,36514,2657200,10170000,5974200,2657200,1538600,0.587434,0,0,0,1
59,17226933591.120926,17226933304,36518,2641400,10170000,5982900,2641400,1545700,0.588289,287.120927,6e-6,1,1
60,17285037819,17285037819,36497,2661000,10170000,5968900,2661000,1540100,0.586912,0,0,0,1
61,17290552640,17290552640,36508,2675600,10170000,5963800,2675600,1530600,0.586411,0,0,0,1
62,17229940362,17229940362,36507,2639800,10170000,5981500,2639800,1548700,0.588151,0,0,0,1
63,17293253251,17293253251,36488,2665200,10170000,5965000,2665200,1539800,0.586529,0,0,0,1
64,17251586350,17251586350,36503,2671000,10170000,5965100,2671000,1533900,0.586539,0,0,0,1
65,17288372061,17288372061,36523,2666000,10170000,5971600,2666000,1532400,0.587178,0,0,0,1
66,17238498562,17238498562,36502,2653400,10170000,5973700,2653400,1542900,0.587384,0,0,0,1
67,17219509119,17219509119,36525,2628800,10170000,5990600,2628800,1550600,0.589046,0,0,0,1
68,17298772364,17298772364,36489,2675400,10170000,5960100,2675400,1534500,0.586047,0,0,0,1
69,17287413200,17287413200,36522,2657200,10170000,5975800,2657200,1537000,0.587591,0,0,0,1
70,17276953272,17276953272,36499,2670000,10170000,5964800,2670000,1535200,0.586509,0,0,0,1
71,17260339683,17260339683,36514,2657000,10170000,5974300,2657000,1538700,0.587443,0,0,0,1
72,17248293870,17248293870,36504,2659400,10170000,5971100,2659400,1539500,0.587129,0,0,0,1
73,17306126281,17306126281,36500,2666200,10170000,5966900,2666200,1536900,0.586716,0,0,0,1
74,17296177346,17296177346,36515,2677800,10170000,5964100,2677800,1528100,0.586441,0,0,0,1
75,17345741792,17345741792,36482,2687200,10170000,5952800,2687200,1530000,0.585329,0,0,0,1
76,17330892846,17330892846,36518,2678200,10170000,5964500,2678200,1527300,0.58648,0,0,0,1
77,17298168808,17298168808,36536,2657800,10170000,5978300,2657800,1533900,0.587837,0,0,0,1
78,17290747006,17290747006,36509,2660200,10170000,5971700,2660200,1538100,0.587188,0,0,0,1
79,17294146548,17294146548,36482,2657000,10170000,5967900,2657000,1545100,0.586814,0,0,0,1
80,17266368661,17266368661,36493,2637000,10170000,5980100,2637000,1552900,0.588014,0,0,0,1
81,17305933836,17305933836,36498,2666800,10170000,5966200,2666800,1537000,0.586647,0,0,0,1
82,17284572560,17284572560,36497,2653200,10170000,5972800,2653200,1544000,0.587296,0,0,0,1
