"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,17362.453994,18411.257792,0,36498,0,0,yes,1.000000
71,,10571.523907,11584.157919,0,36498,0,0,yes,1.000000
70,,8747.138051,9426.542553,0,36498,0,0,yes,1.000000
69,,20753.130417,21450.069645,0,36498,0,0,yes,1.000000
68,,5221.165503,6284.097111,0,36498,0,0,yes,1.000000
67,,17200.994975,18298.146209,0,36498,0,0,yes,1.000000
66,,19884.769734,20573.841711,0,36498,0,0,yes,1.000000
65,,24346.486245,25511.532834,0,36498,0,0,yes,1.000000
64,,21019.731226,22434.077266,0,36498,0,0,yes,1.000000
63,,22929.208367,22929.949190,0,36498,0,0,yes,1.000000
62,,12309.559145,13907.977061,0,36498,0,0,yes,1.000000
61,,7111.429721,7228.406679,0,36498,0,0,yes,1.000000
60,,22878.392415,24740.522319,0,36498,0,0,yes,1.000000
59,,30255.408530,31094.030194,0,36498,0,0,yes,1.000000
58,,30675.638181,31491.179520,0,36498,0,0,yes,1.000000
57,,34810.615649,35783.437791,0,35815,0,0,yes,1.000000
56,,30301.588554,31753.506236,0,36498,0,0,yes,1.000000
55,,8486.134058,9964.176465,0,36498,0,0,yes,1.000000
54,,23758.149230,25129.637551,0,36498,0,0,yes,1.000000
53,,5501.758296,5562.478410,0,36498,0,0,yes,1.000000
52,,13407.175262,14889.211741,0,36498,0,0,yes,1.000000
51,,19277.874399,21483.744582,0,36498,0,0,yes,1.000000
50,,18382.053391,18541.091506,0,36498,0,0,yes,1.000000
49,,17346.422170,17950.940821,0,36498,0,0,yes,1.000000
48,,22600.506246,22980.000144,0,36498,0,0,yes,1.000000
47,,594.774009,646.998223,0,36498,0,0,yes,1.000000
46,,19998.209654,21025.782869,0,36498,0,0,yes,1.000000
45,,23389.153789,23490.318484,0,36498,0,0,yes,1.000000
44,,22765.867648,23368.718720,0,36498,0,0,yes,1.000000
43,,15214.474842,15825.755116,0,36498,0,0,yes,1.000000
42,,23742.044912,24722.887922,0,36498,0,0,yes,1.000000
41,,2911.373107,3063.224334,0,36498,0,0,yes,1.000000
40,,16943.979951,18154.808793,0,36498,0,0,yes,1.000000
39,,17538.925628,17540.060402,0,36498,0,0,yes,1.000000
38,,5815.184974,7505.372771,0,36498,0,0,yes,1.000000
37,,31223.353880,31979.327809,0,36498,0,0,yes,1.000000
36,,18084.180830,19615.774312,0,36498,0,0,yes,1.000000
35,,5041.900994,5957.213623,0,36498,0,0,yes,1.000000
34,,14568.880635,14892.962831,0,36498,0,0,yes,1.000000
33,,4886.999312,5455.380466,0,36498,0,0,yes,1.000000
32,,7809.849613,7809.850657,0,36498,0,0,yes,1.000000
31,,11285.016479,11376.998942,0,36498,0,0,yes,1.000000
30,,15392.487371,15985.183727,0,36498,0,0,yes,1.000000
29,,26327.648336,26630.149609,0,36498,0,0,yes,1.000000
28,,17774.854884,19302.400922,0,36498,0,0,yes,1.000000
27,,12209.893353,12589.985063,0,36498,0,0,yes,1.000000
26,,16709.068737,17684.641452,0,36498,0,0,yes,1.000000
25,,4771.552711,5674.066903,0,36498,0,0,yes,1.000000
24,,21035.323404,21957.861417,0,36498,0,0,yes,1.000000
23,,29627.765121,29861.639221,0,36498,0,0,yes,1.000000
22,,14766.335809,15548.287695,0,36498,0,0,yes,1.000000
21,,15622.179925,17129.317355,0,36498,0,0,yes,1.000000
20,,3906.310837,4279.093772,0,36498,0,0,yes,1.000000
19,,27938.580186,28496.144643,0,36498,0,0,yes,1.000000
18,,21578.541685,22861.369631,0,36498,0,0,yes,1.000000
17,,14954.885562,16179.338857,0,36498,0,0,yes,1.000000
16,,11303.502202,11303.597961,0,36498,0,0,yes,1.000000
15,,20139.666812,20748.315485,0,36498,0,0,yes,1.000000
14,,5617.695766,6567.268591,0,36498,0,0,yes,1.000000
13,,4765.213591,5126.344165,0,36498,0,0,yes,1.000000
12,,15194.940074,16664.639316,0,36498,0,0,yes,1.000000
11,,27496.372297,29217.503923,0,36498,0,0,yes,1.000000
10,,17553.723700,17968.245994,0,36498,0,0,yes,1.000000
9,,9880.501925,10227.746311,0,36498,0,0,yes,1.000000
8,,15351.965919,15871.977286,0,36498,0,0,yes,1.000000
7,,11448.363656,13143.585230,0,36498,0,0,yes,1.000000
6,,13397.010887,15339.644570,0,36498,0,0,yes,1.000000
5,,18242.144531,18243.812239,0,36498,0,0,yes,1.000000
4,,34995.570865,36098.344877,0,36498,0,0,yes,1.000000
3,,2391.228818,3114.328283,0,36498,0,0,yes,1.000000
2,,22633.443440,24017.967097,0,36498,0,0,yes,1.000000
1,,25882.054708,26322.428150,0,36498,0,0,yes,1.000000
