"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,17362.453994,18419.005117,0,36482,0,0,yes,1.000000
71,,10571.523907,11578.800121,0,36482,0,0,yes,1.000000
70,,8747.138051,9429.582812,0,36482,0,0,yes,1.000000
69,,20753.130417,21438.060662,0,36482,0,0,yes,1.000000
68,,5221.165503,6270.461522,0,36482,0,0,yes,1.000000
67,,17200.994975,18290.908718,0,36482,0,0,yes,1.000000
66,,19884.769734,20574.615813,0,36482,0,0,yes,1.000000
65,,24346.486245,25496.581249,0,36482,0,0,yes,1.000000
64,,21019.731226,22444.681947,0,36482,0,0,yes,1.000000
63,,22929.208367,22930.010718,0,36482,0,0,yes,1.000000
62,,12309.559145,13894.261718,0,36482,0,0,yes,1.000000
61,,7111.429721,7213.079551,0,36482,0,0,yes,1.000000
60,,22878.392415,24745.351920,0,36482,0,0,yes,1.000000
59,,30255.408530,31076.535030,0,36482,0,0,yes,1.000000
58,,30675.638181,31473.421612,0,36482,0,0,yes,1.000000
57,,34810.615649,35761.176816,0,35791,0,0,yes,1.000000
56,,30301.588554,31737.207303,0,36482,0,0,yes,1.000000
55,,8486.134058,9954.660177,0,36482,0,0,yes,1.000000
54,,23758.149230,25119.289069,0,36482,0,0,yes,1.000000
53,,5501.758296,5565.548963,0,36482,0,0,yes,1.000000
52,,13407.175262,14883.552007,0,36482,0,0,yes,1.000000
51,,19277.874399,21437.072825,0,36482,0,0,yes,1.000000
50,,18382.053391,18540.155525,0,36482,0,0,yes,1.000000
49,,17346.422170,17963.904921,0,36482,0,0,yes,1.000000
48,,22600.506246,22971.181199,0,36482,0,0,yes,1.000000
47,,594.774009,646.583452,0,36482,0,0,yes,1.000000
46,,19998.209654,21010.483084,0,36482,0,0,yes,1.000000
45,,23389.153789,23480.546539,0,36482,0,0,yes,1.000000
44,,22765.867648,23356.665682,0,36482,0,0,yes,1.000000
43,,15214.474842,15825.115709,0,36482,0,0,yes,1.000000
42,,23742.044912,24720.516092,0,36482,0,0,yes,1.000000
41,,2911.373107,3062.234792,0,36482,0,0,yes,1.000000
40,,16943.979951,18165.572363,0,36482,0,0,yes,1.000000
39,,17538.925628,17539.005784,0,36482,0,0,yes,1.000000
38,,5815.184974,7496.712002,0,36482,0,0,yes,1.000000
37,,31223.353880,31965.455131,0,36482,0,0,yes,1.000000
36,,18084.180830,19598.261233,0,36482,0,0,yes,1.000000
35,,5041.900994,5962.003912,0,36482,0,0,yes,1.000000
34,,14568.880635,14912.370725,0,36482,0,0,yes,1.000000
33,,4886.999312,5464.073863,0,36482,0,0,yes,1.000000
32,,7809.849613,7809.865793,0,36482,0,0,yes,1.000000
31,,11285.016479,11380.991560,0,36482,0,0,yes,1.000000
30,,15392.487371,16003.060490,0,36482,0,0,yes,1.000000
29,,26327.648336,26619.117444,0,36482,0,0,yes,1.000000
28,,17774.854884,19299.717111,0,36482,0,0,yes,1.000000
27,,12209.893353,12606.560195,0,36482,0,0,yes,1.000000
26,,16709.068737,17667.142326,0,36482,0,0,yes,1.000000
25,,4771.552711,5653.913295,0,36482,0,0,yes,1.000000
24,,21035.323404,21939.050631,0,36482,0,0,yes,1.000000
23,,29627.765121,29855.781297,0,36482,0,0,yes,1.000000
22,,14766.335809,15555.394709,0,36482,0,0,yes,1.000000
21,,15622.179925,17136.953909,0,36482,0,0,yes,1.000000
20,,3906.310837,4261.237711,0,36482,0,0,yes,1.000000
19,,27938.580186,28490.519189,0,36482,0,0,yes,1.000000
18,,21578.541685,22860.429849,0,36482,0,0,yes,1.000000
17,,14954.885562,16185.437911,0,36482,0,0,yes,1.000000
16,,11303.502202,11303.504225,0,36482,0,0,yes,1.000000
15,,20139.666812,20716.519775,0,36482,0,0,yes,1.000000
14,,5617.695766,6554.625850,0,36482,0,0,yes,1.000000
13,,4765.213591,5124.000362,0,36482,0,0,yes,1.000000
12,,15194.940074,16651.687655,0,36482,0,0,yes,1.000000
11,,27496.372297,29196.464347,0,36482,0,0,yes,1.000000
10,,17553.723700,17985.306817,0,36482,0,0,yes,1.000000
9,,9880.501925,10249.446063,0,36482,0,0,yes,1.000000
8,,15351.965919,15879.846473,0,36482,0,0,yes,1.000000
7,,11448.363656,13132.167418,0,36482,0,0,yes,1.000000
6,,13397.010887,15345.252990,0,36482,0,0,yes,1.000000
5,,18242.144531,18243.061218,0,36482,0,0,yes,1.000000
4,,34995.570865,36080.062687,0,36482,0,0,yes,1.000000
3,,2391.228818,3113.476467,0,36482,0,0,yes,1.000000
2,,22633.443440,23996.713537,0,36482,0,0,yes,1.000000
1,,25882.054708,26316.442113,0,36482,0,0,yes,1.000000
