"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,7441.051712,10408.321966,0,18613,0,0,yes,1.000000
71,,4530.653103,5903.870313,0,18613,0,0,yes,1.000000
70,,3748.773450,5326.486655,0,18613,0,0,yes,1.000000
69,,8894.198750,11222.455074,0,18613,0,0,yes,1.000000
68,,2237.642358,3681.661606,0,18613,0,0,yes,1.000000
67,,7371.854989,9993.762981,0,18613,0,0,yes,1.000000
66,,8522.044172,10946.851685,0,18613,0,0,yes,1.000000
65,,10434.208391,13599.719474,0,18613,0,0,yes,1.000000
64,,9008.456240,12265.161022,0,18613,0,0,yes,1.000000
63,,9826.803586,10675.064817,0,18613,0,0,yes,1.000000
62,,5275.525348,8661.841396,0,18613,0,0,yes,1.000000
61,,3047.755595,4237.851727,0,18613,0,0,yes,1.000000
60,,9805.025321,14483.343613,0,18613,0,0,yes,1.000000
59,,12966.603656,15547.186306,0,18613,0,0,yes,1.000000
58,,13146.702078,15831.445400,0,18613,0,0,yes,1.000000
57,,14918.835278,18007.021527,0,18032,0,0,yes,1.000000
56,,12986.395095,16987.229701,0,18613,0,0,yes,1.000000
55,,3636.914596,6570.857799,0,18613,0,0,yes,1.000000
54,,10182.063956,13861.460103,0,18613,0,0,yes,1.000000
53,,2357.896412,2832.363611,0,18613,0,0,yes,1.000000
52,,5745.932255,9313.598709,0,18613,0,0,yes,1.000000
51,,8261.946171,12442.492666,0,18613,0,0,yes,1.000000
50,,7878.022882,8554.999288,0,18613,0,0,yes,1.000000
49,,7434.180930,9941.991495,0,18613,0,0,yes,1.000000
48,,9685.931248,11161.876913,0,18613,0,0,yes,1.000000
47,,254.903147,369.322282,0,18613,0,0,yes,1.000000
46,,8570.661280,11625.089548,0,18613,0,0,yes,1.000000
45,,10023.923052,11164.692098,0,18613,0,0,yes,1.000000
44,,9756.800421,11728.463427,0,18613,0,0,yes,1.000000
43,,6520.489218,8807.913246,0,18613,0,0,yes,1.000000
42,,10175.162105,13284.707332,0,18613,0,0,yes,1.000000
41,,1247.731332,1802.127161,0,18613,0,0,yes,1.000000
40,,7261.705693,10613.894747,0,18613,0,0,yes,1.000000
39,,7516.682412,7516.699769,0,18613,0,0,yes,1.000000
38,,2492.222132,6111.509939,0,18613,0,0,yes,1.000000
37,,13381.437377,15970.245151,0,18613,0,0,yes,1.000000
36,,7750.363213,10653.495226,0,18613,0,0,yes,1.000000
35,,2160.814712,4015.628877,0,18613,0,0,yes,1.000000
34,,6243.805987,7461.837515,0,18613,0,0,yes,1.000000
33,,2094.428276,3898.469268,0,18613,0,0,yes,1.000000
32,,3347.078406,3347.081924,0,18613,0,0,yes,1.000000
31,,4836.435634,5172.603074,0,18613,0,0,yes,1.000000
30,,6596.780302,8984.691245,0,18613,0,0,yes,1.000000
29,,11283.277858,12630.141438,0,18613,0,0,yes,1.000000
28,,7617.794950,10419.176673,0,18613,0,0,yes,1.000000
27,,5232.811437,5685.847623,0,18613,0,0,yes,1.000000
26,,7161.029459,9729.324091,0,18613,0,0,yes,1.000000
25,,2044.951162,3618.184193,0,18613,0,0,yes,1.000000
24,,9015.138602,10722.184700,0,18613,0,0,yes,1.000000
23,,12697.613623,14387.081362,0,18613,0,0,yes,1.000000
22,,6328.429633,7799.457797,0,18613,0,0,yes,1.000000
21,,6695.219968,11413.484587,0,18613,0,0,yes,1.000000
20,,1674.133216,2047.262640,0,18613,0,0,yes,1.000000
19,,11973.677223,14225.571430,0,18613,0,0,yes,1.000000
18,,9247.946436,12516.261243,0,18613,0,0,yes,1.000000
17,,6409.236669,9746.659317,0,18613,0,0,yes,1.000000
16,,4844.358087,4848.778514,0,18613,0,0,yes,1.000000
15,,8631.285777,10381.778352,0,18613,0,0,yes,1.000000
14,,2407.583900,4194.811602,0,18613,0,0,yes,1.000000
13,,2042.234396,3220.909694,0,18613,0,0,yes,1.000000
12,,6512.117175,9542.057361,0,18613,0,0,yes,1.000000
11,,11784.159556,16254.598583,0,18613,0,0,yes,1.000000
10,,7523.024443,9166.392358,0,18613,0,0,yes,1.000000
9,,4234.500825,5685.643175,0,18613,0,0,yes,1.000000
8,,6579.413965,8764.161162,0,18613,0,0,yes,1.000000
7,,4906.441567,8447.174580,0,18613,0,0,yes,1.000000
6,,5741.576094,10739.756296,0,18613,0,0,yes,1.000000
5,,7818.061942,7818.093789,0,18613,0,0,yes,1.000000
4,,14998.101799,18530.180912,0,18613,0,0,yes,1.000000
3,,1024.812351,2564.016650,0,18613,0,0,yes,1.000000
2,,9700.047189,12781.351452,0,18613,0,0,yes,1.000000
1,,11092.309161,12592.246070,0,18613,0,0,yes,1.000000
