"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,7441.051712,10405.785443,0,18576,0,0,yes,1.000000
71,,4530.653103,5899.180775,0,18576,0,0,yes,1.000000
70,,3748.773450,5321.751512,0,18576,0,0,yes,1.000000
69,,8894.198750,11199.453767,0,18576,0,0,yes,1.000000
68,,2237.642358,3676.273579,0,18576,0,0,yes,1.000000
67,,7371.854989,9986.641703,0,18576,0,0,yes,1.000000
66,,8522.044172,10909.940996,0,18576,0,0,yes,1.000000
65,,10434.208391,13564.941388,0,18576,0,0,yes,1.000000
64,,9008.456240,12254.691265,0,18576,0,0,yes,1.000000
63,,9826.803586,10632.224032,0,18576,0,0,yes,1.000000
62,,5275.525348,8663.795655,0,18576,0,0,yes,1.000000
61,,3047.755595,4227.807520,0,18576,0,0,yes,1.000000
60,,9805.025321,14442.960255,0,18576,0,0,yes,1.000000
59,,12966.603656,15511.339080,0,18576,0,0,yes,1.000000
58,,13146.702078,15790.666592,0,18576,0,0,yes,1.000000
57,,14918.835278,17964.923841,0,17989,0,0,yes,1.000000
56,,12986.395095,16953.351573,0,18576,0,0,yes,1.000000
55,,3636.914596,6575.855646,0,18576,0,0,yes,1.000000
54,,10182.063956,13835.930150,0,18576,0,0,yes,1.000000
53,,2357.896412,2838.902149,0,18576,0,0,yes,1.000000
52,,5745.932255,9310.380995,0,18576,0,0,yes,1.000000
51,,8261.946171,12421.912166,0,18576,0,0,yes,1.000000
50,,7878.022882,8548.958939,0,18576,0,0,yes,1.000000
49,,7434.180930,9919.272676,0,18576,0,0,yes,1.000000
48,,9685.931248,11122.974601,0,18576,0,0,yes,1.000000
47,,254.903147,371.350479,0,18576,0,0,yes,1.000000
46,,8570.661280,11602.946741,0,18576,0,0,yes,1.000000
45,,10023.923052,11148.459494,0,18576,0,0,yes,1.000000
44,,9756.800421,11693.041844,0,18576,0,0,yes,1.000000
43,,6520.489218,8772.484816,0,18576,0,0,yes,1.000000
42,,10175.162105,13235.788087,0,18576,0,0,yes,1.000000
41,,1247.731332,1799.671927,0,18576,0,0,yes,1.000000
40,,7261.705693,10594.026495,0,18576,0,0,yes,1.000000
39,,7516.682412,7516.682919,0,18576,0,0,yes,1.000000
38,,2492.222132,6116.829912,0,18576,0,0,yes,1.000000
37,,13381.437377,15951.908804,0,18576,0,0,yes,1.000000
36,,7750.363213,10618.812641,0,18576,0,0,yes,1.000000
35,,2160.814712,4023.207074,0,18576,0,0,yes,1.000000
34,,6243.805987,7423.127880,0,18576,0,0,yes,1.000000
33,,2094.428276,3914.411056,0,18576,0,0,yes,1.000000
32,,3347.078406,3347.128944,0,18576,0,0,yes,1.000000
31,,4836.435634,5159.187084,0,18576,0,0,yes,1.000000
30,,6596.780302,8965.025559,0,18576,0,0,yes,1.000000
29,,11283.277858,12589.624330,0,18576,0,0,yes,1.000000
28,,7617.794950,10411.429021,0,18576,0,0,yes,1.000000
27,,5232.811437,5672.165960,0,18576,0,0,yes,1.000000
26,,7161.029459,9721.431739,0,18576,0,0,yes,1.000000
25,,2044.951162,3619.379112,0,18576,0,0,yes,1.000000
24,,9015.138602,10716.279357,0,18576,0,0,yes,1.000000
23,,12697.613623,14353.406676,0,18576,0,0,yes,1.000000
22,,6328.429633,7803.179923,0,18576,0,0,yes,1.000000
21,,6695.219968,11378.054815,0,18576,0,0,yes,1.000000
20,,1674.133216,2046.078187,0,18576,0,0,yes,1.000000
19,,11973.677223,14187.671226,0,18576,0,0,yes,1.000000
18,,9247.946436,12490.885070,0,18576,0,0,yes,1.000000
17,,6409.236669,9742.981311,0,18576,0,0,yes,1.000000
16,,4844.358087,4850.776605,0,18576,0,0,yes,1.000000
15,,8631.285777,10351.298526,0,18576,0,0,yes,1.000000
14,,2407.583900,4195.620442,0,18576,0,0,yes,1.000000
13,,2042.234396,3221.800825,0,18576,0,0,yes,1.000000
12,,6512.117175,9532.820104,0,18576,0,0,yes,1.000000
11,,11784.159556,16223.167750,0,18576,0,0,yes,1.000000
10,,7523.024443,9172.500488,0,18576,0,0,yes,1.000000
9,,4234.500825,5674.572089,0,18576,0,0,yes,1.000000
8,,6579.413965,8727.723255,0,18576,0,0,yes,1.000000
7,,4906.441567,8445.599721,0,18576,0,0,yes,1.000000
6,,5741.576094,10724.322034,0,18576,0,0,yes,1.000000
5,,7818.061942,7818.072972,0,18576,0,0,yes,1.000000
4,,14998.101799,18494.519804,0,18576,0,0,yes,1.000000
3,,1024.812351,2566.964258,0,18576,0,0,yes,1.000000
2,,9700.047189,12768.332584,0,18576,0,0,yes,1.000000
1,,11092.309161,12570.770397,0,18576,0,0,yes,1.000000
