id,target,spf,name
1,11092.3091606855,25,amecro
2,9700.04718868286,25,amegfi
3,1024.81235075453,25,amekes
4,14998.1017994016,25,amerob
5,7818.06194175704,25,annhum
6,5741.57609431339,25,baleag
7,4906.4415667193,25,barswa
8,6579.41396514243,25,batpig1
9,4234.50082498184,25,belkin1
10,7523.02444297783,25,bewwre
11,11784.1595558949,25,bkhgro
12,6512.11717450172,25,bnhcow
13,2042.23439594456,25,brdowl
14,2407.58389969244,25,brebla
15,8631.28577671219,25,brncre
16,4844.35808672057,25,bushti
17,6409.23666922487,25,cangoo
18,9247.94643625394,25,cedwax
19,11973.6772225544,25,chbchi
20,1674.13321571266,25,chispa
21,6695.21996789058,25,comrav
22,6328.4296325606,25,coohaw
23,12697.613623251,25,daejun
24,9015.13860169121,25,dowwoo
25,2044.95116193328,25,eucdov
26,7161.02945876406,25,eursta
27,5232.81143694492,25,evegro
28,7617.79495010921,25,foxspa
29,11283.2778582344,25,gockin
30,6596.78030174811,25,haiwoo
31,4836.43563402548,25,houfin
32,3347.07840552754,25,houspa
33,2094.42827646492,25,houwre
34,6243.80598653202,25,hutvir
35,2160.81471168546,25,macwar
36,7750.36321285282,25,moudov
37,13381.4373773396,25,norfli
38,2492.22213174492,25,norhar1
39,7516.68241214229,25,olsfly
40,7261.70569345141,25,orcwar
41,1247.73133153288,25,osprey
42,10175.1621051145,25,pacwre1
43,6520.48921811543,25,pasfly
44,9756.80042063599,25,pilwoo
45,10023.9230523851,25,pinsis
46,8570.66128025986,25,purfin
47,254.903146677198,25,purmar
48,9685.93124812916,25,rebnut
49,7434.18093012655,25,rebsap
50,7878.02288176641,25,redcro
51,8261.94617080945,25,rethaw
52,5745.93225514926,25,rewbla
53,2357.89641239027,25,rocpig
54,10182.0639558094,25,rufhum
55,3636.91459608598,25,savspa
56,12986.3950945839,25,sonspa
57,14918.8352782572,25,sora
58,13146.7020776365,25,spotow
59,12966.6036555961,25,stejay
60,9805.02532089526,25,swathr
61,3047.75559492514,25,towwar
62,5275.52534794975,25,treswa
63,9826.80358605953,25,varthr
64,9008.45623953492,25,vigswa
65,10434.2083906649,25,warvir
66,8522.04417191148,25,westan
67,7371.85498933196,25,whcspa
68,2237.64235823371,25,wilsni1
69,8894.19875004553,25,wlswar
70,3748.77345028368,25,wooduc
71,4530.65310315944,25,yelwar
72,7441.0517115891,25,yerwar
