"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,7441.051712,10415.930857,0,18629,0,0,yes,1.000000
71,,4530.653103,5906.529841,0,18629,0,0,yes,1.000000
70,,3748.773450,5335.678867,0,18629,0,0,yes,1.000000
69,,8894.198750,11233.359421,0,18629,0,0,yes,1.000000
68,,2237.642358,3676.244180,0,18629,0,0,yes,1.000000
67,,7371.854989,10004.252416,0,18629,0,0,yes,1.000000
66,,8522.044172,10963.399302,0,18629,0,0,yes,1.000000
65,,10434.208391,13613.115626,0,18629,0,0,yes,1.000000
64,,9008.456240,12263.407873,0,18629,0,0,yes,1.000000
63,,9826.803586,10673.458062,0,18629,0,0,yes,1.000000
62,,5275.525348,8671.958152,0,18629,0,0,yes,1.000000
61,,3047.755595,4249.783602,0,18629,0,0,yes,1.000000
60,,9805.025321,14505.345530,0,18629,0,0,yes,1.000000
59,,12966.603656,15558.902834,0,18629,0,0,yes,1.000000
58,,13146.702078,15841.616427,0,18629,0,0,yes,1.000000
57,,14918.835278,18021.806378,0,18046,0,0,yes,1.000000
56,,12986.395095,17002.755503,0,18629,0,0,yes,1.000000
55,,3636.914596,6571.905066,0,18629,0,0,yes,1.000000
54,,10182.063956,13872.165360,0,18629,0,0,yes,1.000000
53,,2357.896412,2841.165770,0,18629,0,0,yes,1.000000
52,,5745.932255,9325.326235,0,18629,0,0,yes,1.000000
51,,8261.946171,12458.375497,0,18629,0,0,yes,1.000000
50,,7878.022882,8554.715698,0,18629,0,0,yes,1.000000
49,,7434.180930,9955.600310,0,18629,0,0,yes,1.000000
48,,9685.931248,11162.068140,0,18629,0,0,yes,1.000000
47,,254.903147,373.483637,0,18629,0,0,yes,1.000000
46,,8570.661280,11628.463641,0,18629,0,0,yes,1.000000
45,,10023.923052,11167.761549,0,18629,0,0,yes,1.000000
44,,9756.800421,11736.032872,0,18629,0,0,yes,1.000000
43,,6520.489218,8824.140031,0,18629,0,0,yes,1.000000
42,,10175.162105,13283.185280,0,18629,0,0,yes,1.000000
41,,1247.731332,1808.452757,0,18629,0,0,yes,1.000000
40,,7261.705693,10626.070781,0,18629,0,0,yes,1.000000
39,,7516.682412,7516.694089,0,18629,0,0,yes,1.000000
38,,2492.222132,6131.094917,0,18629,0,0,yes,1.000000
37,,13381.437377,15989.313365,0,18629,0,0,yes,1.000000
36,,7750.363213,10662.288752,0,18629,0,0,yes,1.000000
35,,2160.814712,4025.571394,0,18629,0,0,yes,1.000000
34,,6243.805987,7460.668795,0,18629,0,0,yes,1.000000
33,,2094.428276,3917.744151,0,18629,0,0,yes,1.000000
32,,3347.078406,3347.111805,0,18629,0,0,yes,1.000000
31,,4836.435634,5159.509273,0,18629,0,0,yes,1.000000
30,,6596.780302,9004.859935,0,18629,0,0,yes,1.000000
29,,11283.277858,12628.386094,0,18629,0,0,yes,1.000000
28,,7617.794950,10418.610570,0,18629,0,0,yes,1.000000
27,,5232.811437,5683.903674,0,18629,0,0,yes,1.000000
26,,7161.029459,9731.606981,0,18629,0,0,yes,1.000000
25,,2044.951162,3622.462695,0,18629,0,0,yes,1.000000
24,,9015.138602,10726.133487,0,18629,0,0,yes,1.000000
23,,12697.613623,14384.723496,0,18629,0,0,yes,1.000000
22,,6328.429633,7808.393559,0,18629,0,0,yes,1.000000
21,,6695.219968,11426.830355,0,18629,0,0,yes,1.000000
20,,1674.133216,2044.794077,0,18629,0,0,yes,1.000000
19,,11973.677223,14233.308639,0,18629,0,0,yes,1.000000
18,,9247.946436,12522.598095,0,18629,0,0,yes,1.000000
17,,6409.236669,9747.994952,0,18629,0,0,yes,1.000000
16,,4844.358087,4852.092152,0,18629,0,0,yes,1.000000
15,,8631.285777,10401.471390,0,18629,0,0,yes,1.000000
14,,2407.583900,4197.351103,0,18629,0,0,yes,1.000000
13,,2042.234396,3237.177993,0,18629,0,0,yes,1.000000
12,,6512.117175,9541.783554,0,18629,0,0,yes,1.000000
11,,11784.159556,16273.910809,0,18629,0,0,yes,1.000000
10,,7523.024443,9189.199600,0,18629,0,0,yes,1.000000
9,,4234.500825,5704.069553,0,18629,0,0,yes,1.000000
8,,6579.413965,8768.102344,0,18629,0,0,yes,1.000000
7,,4906.441567,8458.166630,0,18629,0,0,yes,1.000000
6,,5741.576094,10753.212531,0,18629,0,0,yes,1.000000
5,,7818.061942,7818.073391,0,18629,0,0,yes,1.000000
4,,14998.101799,18547.135010,0,18629,0,0,yes,1.000000
3,,1024.812351,2569.407000,0,18629,0,0,yes,1.000000
2,,9700.047189,12796.378773,0,18629,0,0,yes,1.000000
1,,11092.309161,12593.883435,0,18629,0,0,yes,1.000000
