id,target,spf,name
1,33276.9274820566,25,amecro
2,29100.1415660486,25,amegfi
3,3074.43705226358,25,amekes
4,44994.3053982049,25,amerob
5,23454.1858252711,25,annhum
6,17224.7282829402,25,baleag
7,14719.3247001579,25,barswa
8,19738.2418954273,25,batpig1
9,12703.5024749455,25,belkin1
10,22569.0733289335,25,bewwre
11,35352.4786676846,25,bkhgro
12,19536.3515235052,25,bnhcow
13,6126.70318783368,25,brdowl
14,7222.75169907732,25,brebla
15,25893.8573301366,25,brncre
16,14533.0742601617,25,bushti
17,19227.7100076746,25,cangoo
18,27743.8393087618,25,cedwax
19,35921.0316676632,25,chbchi
20,5022.39964713799,25,chispa
21,20085.6599036717,25,comrav
22,18985.2888976818,25,coohaw
23,38092.8408697531,25,daejun
24,27045.4158050736,25,dowwoo
25,6134.85348579984,25,eucdov
26,21483.0883762922,25,eursta
27,15698.4343108348,25,evegro
28,22853.3848503276,25,foxspa
29,33849.8335747032,25,gockin
30,19790.3409052443,25,haiwoo
31,14509.3069020764,25,houfin
32,10041.2352165826,25,houspa
33,6283.28482939476,25,houwre
34,18731.4179595961,25,hutvir
35,6482.44413505638,25,macwar
36,23251.0896385585,25,moudov
37,40144.3121320188,25,norfli
38,7476.66639523475,25,norhar1
39,22550.0472364269,25,olsfly
40,21785.1170803542,25,orcwar
41,3743.19399459864,25,osprey
42,30525.4863153434,25,pacwre1
43,19561.4676543463,25,pasfly
44,29270.401261908,25,pilwoo
45,30071.7691571552,25,pinsis
46,25711.9838407796,25,purfin
47,764.709440031594,25,purmar
48,29057.7937443875,25,rebnut
49,22302.5427903797,25,rebsap
50,23634.0686452992,25,redcro
51,24785.8385124283,25,rethaw
52,17237.7967654478,25,rewbla
53,7073.68923717081,25,rocpig
54,30546.1918674281,25,rufhum
55,10910.743788258,25,savspa
56,38959.1852837518,25,sonspa
57,44756.5058347716,25,sora
58,39440.1062329095,25,spotow
59,38899.8109667882,25,stejay
60,29415.0759626858,25,swathr
61,9143.26678477542,25,towwar
62,15826.5760438493,25,treswa
63,29480.4107581786,25,varthr
64,27025.3687186047,25,vigswa
65,31302.6251719946,25,warvir
66,25566.1325157344,25,westan
67,22115.5649679959,25,whcspa
68,6712.92707470112,25,wilsni1
69,26682.5962501366,25,wlswar
70,11246.320350851,25,wooduc
71,13591.9593094783,25,yelwar
72,22323.1551347673,25,yerwar
