"planning_unit","number"
50625,88
50624,85
50623,95
50622,87
50621,89
50620,88
50619,86
50618,91
50617,96
50616,97
50615,92
50614,86
50613,89
50612,91
50611,92
50610,91
50609,91
50608,89
50607,95
50606,90
50605,87
50604,89
50603,92
50602,84
50601,90
50600,96
50599,94
50598,91
50597,92
50596,90
50595,86
50594,85
50593,89
50592,92
50591,93
50590,93
50589,91
50588,91
50587,87
50586,86
50585,90
50584,92
50583,90
50582,90
50581,92
50580,93
50579,91
50578,94
50577,93
50576,85
50575,89
50574,88
50573,89
50572,89
50571,91
50570,88
50569,90
50568,90
50567,92
50566,93
50565,86
50564,91
50563,91
50562,89
50561,94
50560,92
50559,91
50558,91
50557,88
50556,94
50555,88
50554,93
50553,87
50552,89
50551,93
50550,90
50549,91
50548,88
50547,84
50546,91
50545,92
50544,92
50543,91
50542,89
50541,87
50540,92
50539,86
50538,89
50537,89
50536,91
50535,87
50534,88
50533,91
50532,88
50531,87
50530,87
50529,83
50528,92
50527,92
50526,91
50525,87
50524,88
50523,91
50522,89
50521,87
50520,91
50519,90
50518,87
50517,96
50516,90
50515,90
50514,92
50513,94
50512,95
50511,85
50510,89
50509,90
50508,88
50507,91
50506,96
50505,86
50504,80
50503,92
50502,92
50501,92
50500,91
50499,89
50498,89
50497,92
50496,93
50495,94
50494,85
50493,90
50492,84
50491,86
50490,90
50489,93
50488,87
50487,88
50486,96
50485,94
50484,92
50483,90
50482,88
50481,90
50480,89
50479,90
50478,91
50477,92
50476,94
50475,96
50474,93
50473,90
50472,88
50471,89
50470,90
50469,87
50468,88
50467,86
50466,83
50465,89
50464,87
50463,88
50462,82
50461,94
50460,88
50459,85
50458,91
50457,91
50456,90
50455,87
50454,93
50453,90
50452,92
50451,87
50450,91
50449,86
50448,89
50447,89
50446,92
50445,92
50444,91
50443,92
50442,90
50441,94
50440,89
50439,88
50438,87
50437,91
50436,92
50435,88
50434,90
50433,91
50432,87
50431,89
50430,93
50429,90
50428,91
50427,92
50426,88
50425,89
50424,89
50423,88
50422,91
50421,86
50420,90
50419,95
50418,92
50417,85
50416,89
50415,87
50414,90
50413,87
50412,88
50411,92
50410,92
50409,97
50408,91
50407,91
50406,93
50405,86
50404,89
50403,90
50402,90
50401,79
50400,89
50399,86
50398,90
50397,88
50396,84
50395,91
50394,94
50393,86
50392,87
50391,91
50390,86
50389,94
50388,95
50387,90
50386,89
50385,91
50384,85
50383,91
50382,87
50381,92
50380,91
50379,94
50378,92
50377,86
50376,93
50375,87
50374,88
50373,90
50372,90
50371,90
50370,90
50369,87
50368,97
50367,91
50366,90
50365,92
50364,90
50363,94
50362,90
50361,92
50360,89
50359,88
50358,97
50357,90
50356,89
50355,91
50354,89
50353,87
50352,90
50351,89
50350,91
50349,93
50348,91
50347,90
50346,87
50345,88
50344,96
50343,91
50342,90
50341,90
50340,95
50339,91
50338,86
50337,91
50336,89
50335,96
50334,93
50333,86
50332,88
50331,86
50330,92
50329,86
50328,89
50327,92
50326,95
50325,91
50324,83
50323,94
50322,89
50321,95
50320,91
50319,92
50318,96
50317,87
50316,93
50315,89
50314,93
50313,93
50312,90
50311,94
50310,92
50309,92
50308,95
50307,91
50306,88
