"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,0.100000,2.292863,0,4,0,0,yes,1.000000
71,,0.100000,1.016885,0,4,0,0,yes,1.000000
70,,0.100000,1.750666,0,4,0,0,yes,1.000000
69,,0.100000,1.466021,0,4,0,0,yes,1.000000
68,,0.100000,0.395446,0,4,0,0,yes,1.000000
67,,0.100000,2.051081,0,4,0,0,yes,1.000000
66,,0.100000,2.633807,0,4,0,0,yes,1.000000
65,,0.100000,1.889870,0,4,0,0,yes,1.000000
64,,0.100000,3.108521,0,4,0,0,yes,1.000000
63,,0.100000,2.265094,0,4,0,0,yes,1.000000
62,,0.100000,2.758013,0,4,0,0,yes,1.000000
61,,0.100000,0.477125,0,4,0,0,yes,1.000000
60,,0.100000,3.591971,0,4,0,0,yes,1.000000
59,,0.100000,3.437510,0,4,0,0,yes,1.000000
58,,0.100000,3.533942,0,4,0,0,yes,1.000000
57,,0.100000,4.000000,0,4,0,0,yes,1.000000
56,,0.100000,3.787731,0,4,0,0,yes,1.000000
55,,0.100000,1.011114,0,4,0,0,yes,1.000000
54,,0.100000,3.167885,0,4,0,0,yes,1.000000
53,,0.100000,0.943762,0,4,0,0,yes,1.000000
52,,0.100000,2.643583,0,4,0,0,yes,1.000000
51,,0.100000,2.717002,0,4,0,0,yes,1.000000
50,,0.100000,0.786463,0,4,0,0,yes,1.000000
49,,0.100000,2.511256,0,4,0,0,yes,1.000000
48,,0.100000,1.524777,0,4,0,0,yes,1.000000
47,,0.100000,0.307383,0,4,0,0,yes,1.000000
46,,0.100000,1.827597,0,4,0,0,yes,1.000000
45,,0.100000,1.523732,0,4,0,0,yes,1.000000
44,,0.100000,1.528023,0,4,0,0,yes,1.000000
43,,0.100000,1.271047,0,4,0,0,yes,1.000000
42,,0.100000,3.633981,0,4,0,0,yes,1.000000
41,,0.100000,1.259547,0,4,0,0,yes,1.000000
40,,0.100000,2.060346,0,4,0,0,yes,1.000000
39,,0.100000,0.974086,0,4,0,0,yes,1.000000
38,,0.100000,1.680933,0,4,0,0,yes,1.000000
37,,0.100000,3.256398,0,4,0,0,yes,1.000000
36,,0.100000,2.647873,0,4,0,0,yes,1.000000
35,,0.100000,0.849742,0,4,0,0,yes,1.000000
34,,0.100000,0.628711,0,4,0,0,yes,1.000000
33,,0.100000,1.009298,0,4,0,0,yes,1.000000
32,,0.100000,0.283386,0,4,0,0,yes,1.000000
31,,0.100000,0.629914,0,4,0,0,yes,1.000000
30,,0.100000,2.118001,0,4,0,0,yes,1.000000
29,,0.100000,1.914476,0,4,0,0,yes,1.000000
28,,0.100000,1.699156,0,4,0,0,yes,1.000000
27,,0.100000,0.958668,0,4,0,0,yes,1.000000
26,,0.100000,2.017487,0,4,0,0,yes,1.000000
25,,0.100000,0.648728,0,4,0,0,yes,1.000000
24,,0.100000,1.174284,0,4,0,0,yes,1.000000
23,,0.100000,2.468237,0,4,0,0,yes,1.000000
22,,0.100000,1.064359,0,4,0,0,yes,1.000000
21,,0.100000,3.187798,0,4,0,0,yes,1.000000
20,,0.100000,0.102226,0,4,0,0,yes,1.000000
19,,0.100000,3.441630,0,4,0,0,yes,1.000000
18,,0.100000,3.221337,0,4,0,0,yes,1.000000
17,,0.100000,3.357059,0,4,0,0,yes,1.000000
16,,0.100000,0.190307,0,4,0,0,yes,1.000000
15,,0.100000,1.572227,0,4,0,0,yes,1.000000
14,,0.100000,1.070482,0,4,0,0,yes,1.000000
13,,0.100000,0.831598,0,4,0,0,yes,1.000000
12,,0.100000,2.060997,0,4,0,0,yes,1.000000
11,,0.100000,3.462690,0,4,0,0,yes,1.000000
10,,0.100000,2.043168,0,4,0,0,yes,1.000000
9,,0.100000,3.101377,0,4,0,0,yes,1.000000
8,,0.100000,1.471417,0,4,0,0,yes,1.000000
7,,0.100000,2.684597,0,4,0,0,yes,1.000000
6,,0.100000,3.389472,0,4,0,0,yes,1.000000
5,,0.100000,0.801228,0,4,0,0,yes,1.000000
4,,0.100000,3.993422,0,4,0,0,yes,1.000000
3,,0.100000,0.635689,0,4,0,0,yes,1.000000
2,,0.100000,2.680533,0,4,0,0,yes,1.000000
1,,0.100000,2.520550,0,4,0,0,yes,1.000000
