spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
72,0,24803.5,0,0,2480.35,50625,0,0,0
71,1,15102.2,0,0,1510.22,50625,0,0,0
70,2,12495.9,0,0,1249.59,50625,0,0,0
69,3,29647.3,0,0,2964.73,50625,0,0,0
68,4,7458.81,0,0,745.881,50625,0,0,0
67,5,24572.8,0,0,2457.28,50625,0,0,0
66,6,28406.8,0,0,2840.68,50625,0,0,0
65,7,34780.7,0,0,3478.07,50625,0,0,0
64,8,30028.2,0,0,3002.82,50625,0,0,0
63,9,32756,0,0,3275.6,50625,0,0,0
62,10,17585.1,0,0,1758.51,50625,0,0,0
61,11,10159.2,0,0,1015.92,50625,0,0,0
60,12,32683.4,0,0,3268.34,50625,0,0,0
59,13,43222,0,0,4322.2,50625,0,0,0
58,14,43822.3,0,0,4382.23,50625,0,0,0
57,15,49729.5,0,0,4972.95,49769,0,0,0
56,16,43288,0,0,4328.8,50625,0,0,0
55,17,12123,0,0,1212.3,50625,0,0,0
54,18,33940.2,0,0,3394.02,50625,0,0,0
53,19,7859.65,0,0,785.965,50625,0,0,0
52,20,19153.1,0,0,1915.31,50625,0,0,0
51,21,27539.8,0,0,2753.98,50625,0,0,0
50,22,26260.1,0,0,2626.01,50625,0,0,0
49,23,24780.6,0,0,2478.06,50625,0,0,0
48,24,32286.4,0,0,3228.64,50625,0,0,0
47,25,849.677,0,0,84.9677,50625,0,0,0
46,26,28568.9,0,0,2856.89,50625,0,0,0
45,27,33413.1,0,0,3341.31,50625,0,0,0
44,28,32522.7,0,0,3252.27,50625,0,0,0
43,29,21735,0,0,2173.5,50625,0,0,0
42,30,33917.2,0,0,3391.72,50625,0,0,0
41,31,4159.1,0,0,415.91,50625,0,0,0
40,32,24205.7,0,0,2420.57,50625,0,0,0
39,33,25055.6,0,0,2505.56,50625,0,0,0
38,34,8307.41,0,0,830.741,50625,0,0,0
37,35,44604.8,0,0,4460.48,50625,0,0,0
36,36,25834.5,0,0,2583.45,50625,0,0,0
35,37,7202.72,0,0,720.272,50625,0,0,0
34,38,20812.7,0,0,2081.27,50625,0,0,0
33,39,6981.43,0,0,698.143,50625,0,0,0
32,40,11156.9,0,0,1115.69,50625,0,0,0
31,41,16121.5,0,0,1612.15,50625,0,0,0
30,42,21989.3,0,0,2198.93,50625,0,0,0
29,43,37610.9,0,0,3761.09,50625,0,0,0
28,44,25392.6,0,0,2539.26,50625,0,0,0
27,45,17442.7,0,0,1744.27,50625,0,0,0
26,46,23870.1,0,0,2387.01,50625,0,0,0
25,47,6816.5,0,0,681.65,50625,0,0,0
24,48,30050.5,0,0,3005.05,50625,0,0,0
23,49,42325.4,0,0,4232.54,50625,0,0,0
22,50,21094.8,0,0,2109.48,50625,0,0,0
21,51,22317.4,0,0,2231.74,50625,0,0,0
20,52,5580.44,0,0,558.044,50625,0,0,0
19,53,39912.3,0,0,3991.23,50625,0,0,0
18,54,30826.5,0,0,3082.65,50625,0,0,0
17,55,21364.1,0,0,2136.41,50625,0,0,0
16,56,16147.9,0,0,1614.79,50625,0,0,0
15,57,28771,0,0,2877.1,50625,0,0,0
14,58,8025.28,0,0,802.528,50625,0,0,0
13,59,6807.45,0,0,680.745,50625,0,0,0
12,60,21707.1,0,0,2170.71,50625,0,0,0
11,61,39280.5,0,0,3928.05,50625,0,0,0
10,62,25076.7,0,0,2507.67,50625,0,0,0
9,63,14115,0,0,1411.5,50625,0,0,0
8,64,21931.4,0,0,2193.14,50625,0,0,0
7,65,16354.8,0,0,1635.48,50625,0,0,0
6,66,19138.6,0,0,1913.86,50625,0,0,0
5,67,26060.2,0,0,2606.02,50625,0,0,0
4,68,49993.7,0,0,4999.37,50625,0,0,0
3,69,3416.04,0,0,341.604,50625,0,0,0
2,70,32333.5,0,0,3233.35,50625,0,0,0
1,71,36974.4,0,0,3697.44,50625,0,0,0
