"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,0.100000,1.336179,0,2,0,0,yes,1.000000
71,,0.100000,1.152557,0,2,0,0,yes,1.000000
70,,0.100000,1.054086,0,2,0,0,yes,1.000000
69,,0.100000,1.398094,0,2,0,0,yes,1.000000
68,,0.100000,0.315486,0,2,0,0,yes,1.000000
67,,0.100000,0.942581,0,2,0,0,yes,1.000000
66,,0.100000,1.077796,0,2,0,0,yes,1.000000
65,,0.100000,1.775413,0,2,0,0,yes,1.000000
64,,0.100000,1.635608,0,2,0,0,yes,1.000000
63,,0.100000,0.545580,0,2,0,0,yes,1.000000
62,,0.100000,1.642373,0,2,0,0,yes,1.000000
61,,0.100000,0.124738,0,2,0,0,yes,1.000000
60,,0.100000,1.877143,0,2,0,0,yes,1.000000
59,,0.100000,1.713797,0,2,0,0,yes,1.000000
58,,0.100000,1.988173,0,2,0,0,yes,1.000000
57,,0.100000,1.000000,0,1,0,0,yes,1.000000
56,,0.100000,1.975883,0,2,0,0,yes,1.000000
55,,0.100000,0.860137,0,2,0,0,yes,1.000000
54,,0.100000,1.580701,0,2,0,0,yes,1.000000
53,,0.100000,0.247816,0,2,0,0,yes,1.000000
52,,0.100000,1.650767,0,2,0,0,yes,1.000000
51,,0.100000,1.801877,0,2,0,0,yes,1.000000
50,,0.100000,0.515899,0,2,0,0,yes,1.000000
49,,0.100000,1.393669,0,2,0,0,yes,1.000000
48,,0.100000,1.128935,0,2,0,0,yes,1.000000
47,,0.100000,0.199894,0,2,0,0,yes,1.000000
46,,0.100000,1.219535,0,2,0,0,yes,1.000000
45,,0.100000,0.790029,0,2,0,0,yes,1.000000
44,,0.100000,1.512861,0,2,0,0,yes,1.000000
43,,0.100000,0.881653,0,2,0,0,yes,1.000000
42,,0.100000,1.716656,0,2,0,0,yes,1.000000
41,,0.100000,0.330838,0,2,0,0,yes,1.000000
40,,0.100000,0.917708,0,2,0,0,yes,1.000000
39,,0.100000,0.175684,0,2,0,0,yes,1.000000
38,,0.100000,1.560527,0,2,0,0,yes,1.000000
37,,0.100000,1.886748,0,2,0,0,yes,1.000000
36,,0.100000,1.792102,0,2,0,0,yes,1.000000
35,,0.100000,1.198158,0,2,0,0,yes,1.000000
34,,0.100000,0.152942,0,2,0,0,yes,1.000000
33,,0.100000,0.347117,0,2,0,0,yes,1.000000
32,,0.100000,0.278384,0,2,0,0,yes,1.000000
31,,0.100000,0.469996,0,2,0,0,yes,1.000000
30,,0.100000,0.977473,0,2,0,0,yes,1.000000
29,,0.100000,1.107164,0,2,0,0,yes,1.000000
28,,0.100000,1.111370,0,2,0,0,yes,1.000000
27,,0.100000,0.292960,0,2,0,0,yes,1.000000
26,,0.100000,1.797541,0,2,0,0,yes,1.000000
25,,0.100000,0.305486,0,2,0,0,yes,1.000000
24,,0.100000,1.604122,0,2,0,0,yes,1.000000
23,,0.100000,1.361935,0,2,0,0,yes,1.000000
22,,0.100000,0.881008,0,2,0,0,yes,1.000000
21,,0.100000,1.429030,0,2,0,0,yes,1.000000
20,,0.100000,0.099432,0,2,0,0,no,0.994322
19,,0.100000,1.627156,0,2,0,0,yes,1.000000
18,,0.100000,1.768449,0,2,0,0,yes,1.000000
17,,0.100000,1.932861,0,2,0,0,yes,1.000000
16,,0.100000,0.535203,0,2,0,0,yes,1.000000
15,,0.100000,1.549848,0,2,0,0,yes,1.000000
14,,0.100000,0.395391,0,2,0,0,yes,1.000000
13,,0.100000,0.348519,0,2,0,0,yes,1.000000
12,,0.100000,1.278939,0,2,0,0,yes,1.000000
11,,0.100000,1.859589,0,2,0,0,yes,1.000000
10,,0.100000,1.517955,0,2,0,0,yes,1.000000
9,,0.100000,1.486925,0,2,0,0,yes,1.000000
8,,0.100000,0.739443,0,2,0,0,yes,1.000000
7,,0.100000,1.573630,0,2,0,0,yes,1.000000
6,,0.100000,1.850443,0,2,0,0,yes,1.000000
5,,0.100000,0.631299,0,2,0,0,yes,1.000000
4,,0.100000,1.999957,0,2,0,0,yes,1.000000
3,,0.100000,0.110285,0,2,0,0,yes,1.000000
2,,0.100000,1.757047,0,2,0,0,yes,1.000000
1,,0.100000,1.495325,0,2,0,0,yes,1.000000
