"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,0.100000,2.215543,0,3,0,0,yes,1.000000
71,,0.100000,1.955213,0,3,0,0,yes,1.000000
70,,0.100000,1.736452,0,3,0,0,yes,1.000000
69,,0.100000,2.185246,0,3,0,0,yes,1.000000
68,,0.100000,0.521015,0,3,0,0,yes,1.000000
67,,0.100000,1.591779,0,3,0,0,yes,1.000000
66,,0.100000,1.247559,0,3,0,0,yes,1.000000
65,,0.100000,2.686253,0,3,0,0,yes,1.000000
64,,0.100000,2.554979,0,3,0,0,yes,1.000000
63,,0.100000,0.564891,0,3,0,0,yes,1.000000
62,,0.100000,2.638971,0,3,0,0,yes,1.000000
61,,0.100000,0.126043,0,3,0,0,yes,1.000000
60,,0.100000,2.862475,0,3,0,0,yes,1.000000
59,,0.100000,2.293589,0,3,0,0,yes,1.000000
58,,0.100000,2.980777,0,3,0,0,yes,1.000000
57,,0.100000,2.000000,0,2,0,0,yes,1.000000
56,,0.100000,2.973078,0,3,0,0,yes,1.000000
55,,0.100000,2.070171,0,3,0,0,yes,1.000000
54,,0.100000,2.417025,0,3,0,0,yes,1.000000
53,,0.100000,0.547372,0,3,0,0,yes,1.000000
52,,0.100000,2.643584,0,3,0,0,yes,1.000000
51,,0.100000,2.794613,0,3,0,0,yes,1.000000
50,,0.100000,0.569929,0,3,0,0,yes,1.000000
49,,0.100000,1.834027,0,3,0,0,yes,1.000000
48,,0.100000,1.124825,0,3,0,0,yes,1.000000
47,,0.100000,0.117789,0,3,0,0,yes,1.000000
46,,0.100000,1.641471,0,3,0,0,yes,1.000000
45,,0.100000,0.914632,0,3,0,0,yes,1.000000
44,,0.100000,1.900069,0,3,0,0,yes,1.000000
43,,0.100000,0.837837,0,3,0,0,yes,1.000000
42,,0.100000,2.547467,0,3,0,0,yes,1.000000
41,,0.100000,0.639113,0,3,0,0,yes,1.000000
40,,0.100000,1.415417,0,3,0,0,yes,1.000000
39,,0.100000,0.176677,0,3,0,0,yes,1.000000
38,,0.100000,2.532653,0,3,0,0,yes,1.000000
37,,0.100000,2.775657,0,3,0,0,yes,1.000000
36,,0.100000,2.543828,0,3,0,0,yes,1.000000
35,,0.100000,2.096093,0,3,0,0,yes,1.000000
34,,0.100000,0.187394,0,3,0,0,yes,1.000000
33,,0.100000,0.584913,0,3,0,0,yes,1.000000
32,,0.100000,0.514807,0,3,0,0,yes,1.000000
31,,0.100000,0.768206,0,3,0,0,yes,1.000000
30,,0.100000,1.234037,0,3,0,0,yes,1.000000
29,,0.100000,1.311823,0,3,0,0,yes,1.000000
28,,0.100000,1.507108,0,3,0,0,yes,1.000000
27,,0.100000,0.317426,0,3,0,0,yes,1.000000
26,,0.100000,2.815644,0,3,0,0,yes,1.000000
25,,0.100000,0.651826,0,3,0,0,yes,1.000000
24,,0.100000,2.421000,0,3,0,0,yes,1.000000
23,,0.100000,1.874823,0,3,0,0,yes,1.000000
22,,0.100000,1.427040,0,3,0,0,yes,1.000000
21,,0.100000,2.391646,0,3,0,0,yes,1.000000
20,,0.100000,0.128761,0,3,0,0,yes,1.000000
19,,0.100000,1.988585,0,3,0,0,yes,1.000000
18,,0.100000,2.767582,0,3,0,0,yes,1.000000
17,,0.100000,2.957977,0,3,0,0,yes,1.000000
16,,0.100000,0.571485,0,3,0,0,yes,1.000000
15,,0.100000,1.870587,0,3,0,0,yes,1.000000
14,,0.100000,0.702539,0,3,0,0,yes,1.000000
13,,0.100000,0.324476,0,3,0,0,yes,1.000000
12,,0.100000,2.229175,0,3,0,0,yes,1.000000
11,,0.100000,2.798133,0,3,0,0,yes,1.000000
10,,0.100000,2.209441,0,3,0,0,yes,1.000000
9,,0.100000,1.916069,0,3,0,0,yes,1.000000
8,,0.100000,0.842612,0,3,0,0,yes,1.000000
7,,0.100000,2.698947,0,3,0,0,yes,1.000000
6,,0.100000,2.855735,0,3,0,0,yes,1.000000
5,,0.100000,0.592620,0,3,0,0,yes,1.000000
4,,0.100000,2.999950,0,3,0,0,yes,1.000000
3,,0.100000,0.320350,0,3,0,0,yes,1.000000
2,,0.100000,2.746223,0,3,0,0,yes,1.000000
1,,0.100000,2.356617,0,3,0,0,yes,1.000000
