"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,0.100000,1.958189,0,3,0,0,yes,1.000000
71,,0.100000,1.241273,0,3,0,0,yes,1.000000
70,,0.100000,1.526595,0,3,0,0,yes,1.000000
69,,0.100000,2.009653,0,3,0,0,yes,1.000000
68,,0.100000,0.303574,0,3,0,0,yes,1.000000
67,,0.100000,1.051846,0,3,0,0,yes,1.000000
66,,0.100000,1.926336,0,3,0,0,yes,1.000000
65,,0.100000,2.651541,0,3,0,0,yes,1.000000
64,,0.100000,1.953482,0,3,0,0,yes,1.000000
63,,0.100000,1.824389,0,3,0,0,yes,1.000000
62,,0.100000,1.731221,0,3,0,0,yes,1.000000
61,,0.100000,0.959919,0,3,0,0,yes,1.000000
60,,0.100000,2.913501,0,3,0,0,yes,1.000000
59,,0.100000,2.555498,0,3,0,0,yes,1.000000
58,,0.100000,2.974790,0,3,0,0,yes,1.000000
57,,0.100000,3.000000,0,3,0,0,yes,1.000000
56,,0.100000,2.947691,0,3,0,0,yes,1.000000
55,,0.100000,0.831746,0,3,0,0,yes,1.000000
54,,0.100000,2.518407,0,3,0,0,yes,1.000000
53,,0.100000,0.292663,0,3,0,0,yes,1.000000
52,,0.100000,1.804961,0,3,0,0,yes,1.000000
51,,0.100000,2.238830,0,3,0,0,yes,1.000000
50,,0.100000,0.672383,0,3,0,0,yes,1.000000
49,,0.100000,2.234098,0,3,0,0,yes,1.000000
48,,0.100000,1.966945,0,3,0,0,yes,1.000000
47,,0.100000,0.179964,0,3,0,0,yes,1.000000
46,,0.100000,2.126219,0,3,0,0,yes,1.000000
45,,0.100000,1.628203,0,3,0,0,yes,1.000000
44,,0.100000,2.452539,0,3,0,0,yes,1.000000
43,,0.100000,1.891887,0,3,0,0,yes,1.000000
42,,0.100000,2.688107,0,3,0,0,yes,1.000000
41,,0.100000,0.525305,0,3,0,0,yes,1.000000
40,,0.100000,1.776256,0,3,0,0,yes,1.000000
39,,0.100000,0.190480,0,3,0,0,yes,1.000000
38,,0.100000,1.556748,0,3,0,0,yes,1.000000
37,,0.100000,2.725432,0,3,0,0,yes,1.000000
36,,0.100000,2.227076,0,3,0,0,yes,1.000000
35,,0.100000,1.160908,0,3,0,0,yes,1.000000
34,,0.100000,0.971110,0,3,0,0,yes,1.000000
33,,0.100000,0.261608,0,3,0,0,yes,1.000000
32,,0.100000,0.320381,0,3,0,0,yes,1.000000
31,,0.100000,0.559775,0,3,0,0,yes,1.000000
30,,0.100000,1.933056,0,3,0,0,yes,1.000000
29,,0.100000,2.035026,0,3,0,0,yes,1.000000
28,,0.100000,1.391806,0,3,0,0,yes,1.000000
27,,0.100000,0.644932,0,3,0,0,yes,1.000000
26,,0.100000,1.901867,0,3,0,0,yes,1.000000
25,,0.100000,0.415355,0,3,0,0,yes,1.000000
24,,0.100000,2.027185,0,3,0,0,yes,1.000000
23,,0.100000,2.311057,0,3,0,0,yes,1.000000
22,,0.100000,1.207656,0,3,0,0,yes,1.000000
21,,0.100000,2.530520,0,3,0,0,yes,1.000000
20,,0.100000,0.106193,0,3,0,0,yes,1.000000
19,,0.100000,2.723656,0,3,0,0,yes,1.000000
18,,0.100000,2.279102,0,3,0,0,yes,1.000000
17,,0.100000,2.160949,0,3,0,0,yes,1.000000
16,,0.100000,0.526195,0,3,0,0,yes,1.000000
15,,0.100000,2.403692,0,3,0,0,yes,1.000000
14,,0.100000,0.408171,0,3,0,0,yes,1.000000
13,,0.100000,1.028940,0,3,0,0,yes,1.000000
12,,0.100000,1.367446,0,3,0,0,yes,1.000000
11,,0.100000,2.818816,0,3,0,0,yes,1.000000
10,,0.100000,1.671366,0,3,0,0,yes,1.000000
9,,0.100000,1.681951,0,3,0,0,yes,1.000000
8,,0.100000,1.549854,0,3,0,0,yes,1.000000
7,,0.100000,1.649586,0,3,0,0,yes,1.000000
6,,0.100000,2.551994,0,3,0,0,yes,1.000000
5,,0.100000,0.718650,0,3,0,0,yes,1.000000
4,,0.100000,2.999702,0,3,0,0,yes,1.000000
3,,0.100000,0.177557,0,3,0,0,yes,1.000000
2,,0.100000,2.022987,0,3,0,0,yes,1.000000
1,,0.100000,1.872774,0,3,0,0,yes,1.000000
