"planning_unit","number"
50625,77
50624,93
50623,98
50622,68
50621,27
50620,15
50619,42
50618,1
50617,0
50616,45
50615,6
50614,0
50613,95
50612,100
50611,100
50610,99
50609,98
50608,99
50607,95
50606,92
50605,92
50604,92
50603,97
50602,95
50601,91
50600,93
50599,93
50598,96
50597,97
50596,97
50595,94
50594,98
50593,96
50592,93
50591,91
50590,87
50589,92
50588,87
50587,79
50586,52
50585,68
50584,61
50583,45
50582,14
50581,6
50580,0
50579,9
50578,2
50577,11
50576,7
50575,10
50574,33
50573,21
50572,57
50571,64
50570,52
50569,53
50568,39
50567,29
50566,41
50565,89
50564,76
50563,61
50562,59
50561,91
50560,98
50559,96
50558,97
50557,98
50556,96
50555,97
50554,89
50553,92
50552,96
50551,51
50550,1
50549,2
50548,31
50547,79
50546,73
50545,85
50544,74
50543,84
50542,51
50541,32
50540,54
50539,60
50538,74
50537,77
50536,24
50535,22
50534,99
50533,99
50532,98
50531,34
50530,0
50529,0
50528,0
50527,0
50526,9
50525,23
50524,9
50523,6
50522,0
50521,3
50520,7
50519,15
50518,97
50517,100
50516,100
50515,99
50514,99
50513,99
50512,95
50511,68
50510,19
50509,9
50508,4
50507,0
50506,10
50505,0
50504,0
50503,0
50502,85
50501,30
50500,5
50499,8
50498,82
50497,81
50496,48
50495,0
50494,0
50493,0
50492,0
50491,0
50490,0
50489,79
50488,50
50487,0
50486,12
50485,96
50484,100
50483,100
50482,100
50481,98
50480,89
50479,91
50478,87
50477,97
50476,99
50475,90
50474,100
50473,99
50472,62
50471,41
50470,43
50469,45
50468,15
50467,4
50466,2
50465,0
50464,0
50463,1
50462,0
50461,0
50460,0
50459,1
50458,0
50457,1
50456,0
50455,0
50454,0
50453,0
50452,3
50451,7
50450,0
50449,0
50448,0
50447,2
50446,13
50445,30
50444,39
50443,31
50442,6
50441,3
50440,6
50439,62
50438,50
50437,11
50436,5
50435,2
50434,3
50433,0
50432,0
50431,0
50430,2
50429,55
50428,95
50427,94
50426,94
50425,92
50424,97
50423,92
50422,93
50421,97
50420,91
50419,94
50418,95
50417,12
50416,33
50415,41
50414,54
50413,95
50412,100
50411,99
50410,96
50409,46
50408,1
50407,0
50406,0
50405,0
50404,0
50403,2
50402,1
50401,0
50400,13
50399,82
50398,98
50397,53
50396,22
50395,26
50394,28
50393,16
50392,7
50391,40
50390,97
50389,100
50388,100
50387,100
50386,100
50385,98
50384,95
50383,98
50382,92
50381,90
50380,94
50379,96
50378,90
50377,89
50376,92
50375,88
50374,89
50373,92
50372,97
50371,89
50370,98
50369,91
50368,96
50367,95
50366,92
50365,83
50364,76
50363,88
50362,58
50361,56
50360,74
50359,73
50358,63
50357,35
50356,4
50355,1
50354,1
50353,1
50352,0
50351,2
50350,16
50349,61
50348,56
50347,60
50346,45
50345,26
50344,27
50343,18
50342,36
50341,46
50340,66
50339,76
50338,83
50337,83
50336,90
50335,96
50334,99
50333,97
50332,96
50331,88
50330,92
50329,87
50328,97
50327,93
50326,54
50325,4
50324,6
50323,53
50322,93
50321,88
50320,92
50319,84
50318,48
50317,12
50316,5
50315,67
50314,87
50313,87
50312,88
50311,32
50310,14
50309,96
50308,98
50307,98
50306,47
50305,0
50304,0
50303,1
50302,1
50301,0
50300,0
50299,0
50298,0
50297,0
50296,0
50295,4
50294,43
50293,100
50292,100
50291,100
50290,100
50289,100
50288,97
50287,95
50286,91
50285,94
50284,98
50283,99
50282,98
50281,99
50280,0
50279,0
50278,0
50277,96
50276,90
50275,93
50274,91
50273,86
50272,76
50271,88
50270,91
50269,67
50268,0
50267,0
50266,0
50265,0
50264,12
50263,91
50262,57
50261,14
50260,91
50259,100
50258,99
50257,97
50256,96
50255,90
50254,94
50253,96
50252,92
50251,96
50250,98
50249,99
50248,100
50247,100
50246,83
50245,1
50244,6
50243,100
50242,100
50241,69
50240,0
50239,0
50238,0
50237,0
50236,0
50235,1
50234,17
50233,9
50232,0
50231,0
50230,0
50229,1
50228,0
50227,0
50226,8
50225,1
50224,0
50223,0
50222,1
50221,11
50220,0
50219,0
50218,1
50217,0
50216,5
50215,68
50214,90
50213,86
50212,26
50211,0
50210,12
50209,3
50208,0
50207,0
50206,0
50205,1
50204,86
50203,98
50202,95
50201,92
50200,96
50199,98
50198,89
50197,97
50196,100
50195,96
50194,96
50193,92
50192,17
50191,2
50190,4
50189,30
50188,96
50187,99
50186,99
50185,74
50184,0
50183,0
50182,0
50181,0
50180,0
50179,0
50178,0
50177,1
50176,0
50175,11
50174,72
50173,100
50172,72
50171,25
50170,28
50169,20
50168,16
50167,9
50166,23
50165,65
50164,100
50163,100
50162,100
50161,100
50160,95
50159,93
50158,94
50157,89
50156,88
50155,91
50154,94
50153,94
50152,79
50151,90
50150,90
50149,95
50148,90
50147,95
50146,96
50145,92
50144,90
50143,89
50142,92
50141,88
50140,88
50139,79
50138,83
50137,66
50136,58
50135,66
50134,50
50133,58
50132,39
50131,3
50130,6
50129,5
50128,1
50127,5
50126,3
50125,9
50124,48
50123,52
50122,37
50121,23
50120,15
50119,33
50118,29
50117,48
50116,28
50115,34
50114,40
50113,61
50112,59
50111,89
50110,91
50109,98
50108,96
50107,87
50106,86
50105,88
50104,99
50103,97
50102,86
50101,37
50100,3
50099,12
50098,77
50097,86
50096,93
50095,94
50094,97
50093,63
50092,4
50091,0
50090,2
50089,43
50088,93
50087,93
50086,89
50085,82
50084,98
50083,98
50082,96
50081,15
50080,1
50079,0
50078,1
50077,1
50076,0
50075,0
50074,0
50073,1
50072,0
50071,5
50070,35
50069,69
50068,91
50067,99
50066,100
50065,100
50064,100
50063,97
50062,94
50061,85
50060,91
50059,97
50058,98
50057,97
50056,97
50055,96
50054,81
50053,92
50052,93
50051,93
50050,97
50049,94
50048,93
50047,93
50046,93
50045,91
50044,96
50043,42
50042,0
50041,0
50040,0
50039,1
50038,86
50037,97
50036,75
50035,95
50034,100
50033,100
50032,100
50031,97
50030,93
50029,90
50028,93
50027,95
50026,95
50025,98
50024,100
50023,100
50022,100
50021,99
50020,99
50019,99
50018,100
50017,100
50016,100
50015,0
50014,0
50013,1
50012,0
50011,0
50010,0
50009,25
50008,38
50007,0
50006,0
50005,0
50004,2
50003,0
50002,0
50001,1
50000,0
49999,2
49998,1
49997,3
49996,0
49995,0
49994,0
49993,0
49992,0
49991,12
49990,89
49989,59
49988,43
49987,7
49986,0
49985,5
49984,2
49983,0
49982,0
49981,0
49980,0
49979,85
49978,97
49977,94
49976,96
49975,95
49974,98
49973,95
49972,97
49971,98
49970,95
49969,97
49968,88
49967,0
49966,0
49965,0
49964,0
49963,0
49962,100
49961,100
49960,11
49959,0
49958,3
49957,3
49956,3
49955,1
49954,0
49953,1
49952,1
49951,0
49950,18
49949,75
49948,100
49947,86
49946,58
49945,0
49944,1
49943,60
49942,50
49941,50
49940,63
49939,100
49938,100
49937,100
49936,98
49935,91
49934,95
49933,96
49932,95
49931,91
49930,85
49929,86
49928,83
49927,90
49926,84
49925,89
49924,87
49923,81
49922,92
49921,88
49920,90
49919,89
49918,65
49917,69
49916,81
49915,71
49914,70
49913,77
49912,75
49911,57
49910,43
49909,64
49908,67
49907,55
49906,54
49905,31
49904,6
49903,2
49902,8
49901,9
49900,17
49899,37
49898,50
49897,56
49896,60
49895,66
49894,41
49893,27
49892,14
49891,46
49890,40
49889,25
49888,24
49887,44
49886,97
49885,95
49884,99
49883,96
49882,90
49881,91
49880,95
49879,93
49878,96
49877,92
49876,61
49875,15
49874,6
49873,79
49872,88
49871,92
49870,94
49869,100
49868,90
49867,1
49866,0
49865,0
49864,5
49863,57
49862,94
49861,87
49860,88
49859,98
49858,99
49857,98
49856,19
49855,1
49854,2
49853,0
49852,0
49851,1
49850,0
49849,4
49848,1
49847,8
49846,87
49845,88
49844,85
49843,83
49842,93
49841,94
49840,99
49839,99
49838,100
49837,67
49836,65
49835,94
49834,88
49833,90
49832,97
49831,96
49830,92
49829,93
49828,97
49827,86
49826,89
49825,98
49824,97
49823,99
49822,99
49821,97
49820,94
49819,97
49818,85
49817,0
49816,0
49815,0
49814,0
49813,13
49812,21
49811,12
49810,85
49809,98
49808,99
49807,99
49806,98
49805,96
49804,95
49803,92
49802,97
49801,99
49800,100
49799,100
49798,100
49797,99
49796,99
49795,100
49794,100
49793,100
49792,100
49791,100
49790,1
49789,0
49788,0
49787,0
49786,1
49785,32
49784,12
49783,8
49782,0
49781,0
49780,0
49779,1
49778,0
49777,0
49776,0
49775,0
49774,2
49773,0
49772,0
49771,1
49770,0
49769,0
49768,7
49767,66
49766,99
49765,84
49764,43
49763,33
49762,4
49761,2
49760,1
49759,0
49758,0
49757,0
49756,1
49755,0
49754,84
49753,97
49752,96
49751,94
49750,94
49749,95
49748,96
49747,95
49746,97
49745,98
49744,99
49743,97
49742,0
49741,0
49740,0
49739,0
49738,0
49737,67
49736,39
49735,2
49734,2
49733,7
49732,1
49731,6
49730,9
49729,7
49728,0
49727,0
49726,0
49725,98
49724,88
49723,99
49722,98
49721,99
49720,36
49719,55
49718,100
49717,100
49716,100
49715,100
49714,100
49713,100
49712,100
49711,94
49710,90
49709,93
49708,95
49707,95
49706,92
49705,87
49704,81
49703,89
49702,67
49701,87
49700,86
49699,79
49698,63
49697,77
49696,71
49695,73
49694,56
49693,30
49692,24
49691,65
49690,50
49689,70
49688,72
49687,78
49686,68
49685,58
49684,69
49683,68
49682,77
49681,70
49680,72
49679,18
49678,2
49677,2
49676,6
49675,30
49674,78
49673,89
49672,91
49671,89
49670,89
49669,60
49668,23
49667,21
49666,34
49665,26
49664,4
49663,30
49662,79
49661,98
49660,98
49659,96
49658,97
49657,94
49656,100
49655,90
