"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,14882.103423,16514.371623,0,32196,0,0,yes,1.000000
71,,9061.306206,10375.166140,0,32196,0,0,yes,1.000000
70,,7497.546901,8506.792154,0,32196,0,0,yes,1.000000
69,,17788.397500,19032.043572,0,32196,0,0,yes,1.000000
68,,4475.284716,5856.202881,0,32196,0,0,yes,1.000000
67,,14743.709979,16407.898309,0,32196,0,0,yes,1.000000
66,,17044.088344,18291.362464,0,32196,0,0,yes,1.000000
65,,20868.416781,22747.381772,0,32196,0,0,yes,1.000000
64,,18016.912479,20153.184862,0,32196,0,0,yes,1.000000
63,,19653.607172,19870.713774,0,32196,0,0,yes,1.000000
62,,10551.050696,12836.812263,0,32196,0,0,yes,1.000000
61,,6095.511190,6407.280559,0,32196,0,0,yes,1.000000
60,,19610.050642,22430.405939,0,32196,0,0,yes,1.000000
59,,25933.207311,27376.224881,0,32196,0,0,yes,1.000000
58,,26293.404155,27734.962445,0,32196,0,0,yes,1.000000
57,,29837.670557,31503.466418,0,31534,0,0,yes,1.000000
56,,25972.790189,28293.968042,0,32196,0,0,yes,1.000000
55,,7273.829192,9363.461148,0,32196,0,0,yes,1.000000
54,,20364.127912,22513.365401,0,32196,0,0,yes,1.000000
53,,4715.792825,4892.448720,0,32196,0,0,yes,1.000000
52,,11491.864510,13689.362634,0,32196,0,0,yes,1.000000
51,,16523.892342,19599.503955,0,32196,0,0,yes,1.000000
50,,15756.045764,16092.194292,0,32196,0,0,yes,1.000000
49,,14868.361860,15993.585137,0,32196,0,0,yes,1.000000
48,,19371.862496,20018.756596,0,32196,0,0,yes,1.000000
47,,509.806293,587.124471,0,32196,0,0,yes,1.000000
46,,17141.322561,18774.803173,0,32196,0,0,yes,1.000000
45,,20047.846105,20411.946686,0,32196,0,0,yes,1.000000
44,,19513.600841,20543.505970,0,32196,0,0,yes,1.000000
43,,13040.978436,14116.045287,0,32196,0,0,yes,1.000000
42,,20350.324210,21977.014899,0,32196,0,0,yes,1.000000
41,,2495.462663,2760.351986,0,32196,0,0,yes,1.000000
40,,14523.411387,16408.975289,0,32196,0,0,yes,1.000000
39,,15033.364824,15033.459634,0,32196,0,0,yes,1.000000
38,,4984.444263,7345.393810,0,32196,0,0,yes,1.000000
37,,26762.874755,28067.970858,0,32196,0,0,yes,1.000000
36,,15500.726426,17677.133797,0,32196,0,0,yes,1.000000
35,,4321.629423,5597.606822,0,32196,0,0,yes,1.000000
34,,12487.611973,13089.988614,0,32196,0,0,yes,1.000000
33,,4188.856553,5066.953401,0,32196,0,0,yes,1.000000
32,,6694.156811,6694.156882,0,32196,0,0,yes,1.000000
31,,9672.871268,9830.287372,0,32196,0,0,yes,1.000000
30,,13193.560603,14291.763446,0,32196,0,0,yes,1.000000
29,,22566.555716,23207.707155,0,32196,0,0,yes,1.000000
28,,15235.589900,17336.520366,0,32196,0,0,yes,1.000000
27,,10465.622874,11046.523369,0,32196,0,0,yes,1.000000
26,,14322.058918,15866.782876,0,32196,0,0,yes,1.000000
25,,4089.902324,5310.714411,0,32196,0,0,yes,1.000000
24,,18030.277203,19304.870927,0,32196,0,0,yes,1.000000
23,,25395.227247,26036.107814,0,32196,0,0,yes,1.000000
22,,12656.859265,13693.630455,0,32196,0,0,yes,1.000000
21,,13390.439936,15835.883504,0,32196,0,0,yes,1.000000
20,,3348.266431,3776.012031,0,32196,0,0,yes,1.000000
19,,23947.354445,25007.808631,0,32196,0,0,yes,1.000000
18,,18495.892873,20471.838672,0,32196,0,0,yes,1.000000
17,,12818.473338,14761.745594,0,32196,0,0,yes,1.000000
16,,9688.716173,9688.859716,0,32196,0,0,yes,1.000000
15,,17262.571553,18207.434564,0,32196,0,0,yes,1.000000
14,,4815.167799,6129.837962,0,32196,0,0,yes,1.000000
13,,4084.468792,4655.837995,0,32196,0,0,yes,1.000000
12,,13024.234349,15145.751451,0,32196,0,0,yes,1.000000
11,,23568.319112,26241.760015,0,32196,0,0,yes,1.000000
10,,15046.048886,15742.142989,0,32196,0,0,yes,1.000000
9,,8469.001650,9197.582322,0,32196,0,0,yes,1.000000
8,,13158.827930,14133.267700,0,32196,0,0,yes,1.000000
7,,9812.883133,12246.521045,0,32196,0,0,yes,1.000000
6,,11483.152189,14378.173852,0,32196,0,0,yes,1.000000
5,,15636.123884,15641.794635,0,32196,0,0,yes,1.000000
4,,29996.203599,31872.094516,0,32196,0,0,yes,1.000000
3,,2049.624702,3049.077001,0,32196,0,0,yes,1.000000
2,,19400.094377,21454.944399,0,32196,0,0,yes,1.000000
1,,22184.618321,22987.734487,0,32196,0,0,yes,1.000000
