"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,11296193968.000000,11296193968.000000,32207,2648200.000000,10170000.000000,5117300.000000,2648200.000000,2404500.000000,0.503176,0.000000,0.000000,0,1.000000
2,11235669887.000000,11235669887.000000,32151,2624200.000000,10170000.000000,5118100.000000,2624200.000000,2427700.000000,0.503255,0.000000,0.000000,0,1.000000
3,11302889443.000000,11302889443.000000,32146,2653000.000000,10170000.000000,5102700.000000,2653000.000000,2414300.000000,0.501740,0.000000,0.000000,0,1.000000
4,11298232635.000000,11298232635.000000,32130,2652800.000000,10170000.000000,5099600.000000,2652800.000000,2417600.000000,0.501436,0.000000,0.000000,0,1.000000
5,11250233465.000000,11250233465.000000,32196,2630800.000000,10170000.000000,5123800.000000,2630800.000000,2415400.000000,0.503815,0.000000,0.000000,0,1.000000
6,11291307580.000000,11291307580.000000,32153,2674400.000000,10170000.000000,5093400.000000,2674400.000000,2402200.000000,0.500826,0.000000,0.000000,0,1.000000
7,11258688523.000000,11258688523.000000,32134,2642200.000000,10170000.000000,5105700.000000,2642200.000000,2422100.000000,0.502035,0.000000,0.000000,0,1.000000
8,11296485178.000000,11296485178.000000,32172,2637200.000000,10170000.000000,5115800.000000,2637200.000000,2417000.000000,0.503029,0.000000,0.000000,0,1.000000
9,11292448826.000000,11292448826.000000,32127,2680800.000000,10170000.000000,5085000.000000,2680800.000000,2404200.000000,0.500000,0.000000,0.000000,0,1.000000
10,11276353890.000000,11276353890.000000,32170,2653400.000000,10170000.000000,5107300.000000,2653400.000000,2409300.000000,0.502193,0.000000,0.000000,0,1.000000
11,11289052887.000000,11289052887.000000,32146,2668400.000000,10170000.000000,5095000.000000,2668400.000000,2406600.000000,0.500983,0.000000,0.000000,0,1.000000
12,11308710641.000000,11308710641.000000,32168,2648600.000000,10170000.000000,5109300.000000,2648600.000000,2412100.000000,0.502389,0.000000,0.000000,0,1.000000
13,11298763996.000000,11298763996.000000,32205,2643800.000000,10170000.000000,5119100.000000,2643800.000000,2407100.000000,0.503353,0.000000,0.000000,0,1.000000
14,11282314012.000000,11282314012.000000,32147,2624200.000000,10170000.000000,5117300.000000,2624200.000000,2428500.000000,0.503176,0.000000,0.000000,0,1.000000
15,11307953617.000000,11307953617.000000,32077,2653800.000000,10170000.000000,5088500.000000,2653800.000000,2427700.000000,0.500344,0.000000,0.000000,0,1.000000
16,11277250571.000000,11277250571.000000,32182,2639600.000000,10170000.000000,5116600.000000,2639600.000000,2413800.000000,0.503107,0.000000,0.000000,0,1.000000
17,11321457232.000000,11321457232.000000,32147,2632200.000000,10170000.000000,5113300.000000,2632200.000000,2424500.000000,0.502783,0.000000,0.000000,0,1.000000
18,11264390418.000000,11264390418.000000,32179,2636800.000000,10170000.000000,5117400.000000,2636800.000000,2415800.000000,0.503186,0.000000,0.000000,0,1.000000
