"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,14882.103423,16522.673180,0,32155,0,0,yes,1.000000
71,,9061.306206,10382.638513,0,32155,0,0,yes,1.000000
70,,7497.546901,8499.516919,0,32155,0,0,yes,1.000000
69,,17788.397500,19005.997925,0,32155,0,0,yes,1.000000
68,,4475.284716,5862.392898,0,32155,0,0,yes,1.000000
67,,14743.709979,16396.901926,0,32155,0,0,yes,1.000000
66,,17044.088344,18226.036179,0,32155,0,0,yes,1.000000
65,,20868.416781,22717.557847,0,32155,0,0,yes,1.000000
64,,18016.912479,20154.661390,0,32155,0,0,yes,1.000000
63,,19653.607172,19820.613657,0,32155,0,0,yes,1.000000
62,,10551.050696,12850.782153,0,32155,0,0,yes,1.000000
61,,6095.511190,6361.871029,0,32155,0,0,yes,1.000000
60,,19610.050642,22389.639323,0,32155,0,0,yes,1.000000
59,,25933.207311,27337.054415,0,32155,0,0,yes,1.000000
58,,26293.404155,27700.555435,0,32155,0,0,yes,1.000000
57,,29837.670557,31467.423199,0,31496,0,0,yes,1.000000
56,,25972.790189,28253.890808,0,32155,0,0,yes,1.000000
55,,7273.829192,9355.780121,0,32155,0,0,yes,1.000000
54,,20364.127912,22495.986732,0,32155,0,0,yes,1.000000
53,,4715.792825,4890.061508,0,32155,0,0,yes,1.000000
52,,11491.864510,13695.205355,0,32155,0,0,yes,1.000000
51,,16523.892342,19609.789540,0,32155,0,0,yes,1.000000
50,,15756.045764,16080.555609,0,32155,0,0,yes,1.000000
49,,14868.361860,15954.594406,0,32155,0,0,yes,1.000000
48,,19371.862496,19998.034924,0,32155,0,0,yes,1.000000
47,,509.806293,586.721202,0,32155,0,0,yes,1.000000
46,,17141.322561,18762.938998,0,32155,0,0,yes,1.000000
45,,20047.846105,20394.992944,0,32155,0,0,yes,1.000000
44,,19513.600841,20504.127889,0,32155,0,0,yes,1.000000
43,,13040.978436,14077.511095,0,32155,0,0,yes,1.000000
42,,20350.324210,21937.860767,0,32155,0,0,yes,1.000000
41,,2495.462663,2755.608817,0,32155,0,0,yes,1.000000
40,,14523.411387,16399.466157,0,32155,0,0,yes,1.000000
39,,15033.364824,15033.364577,0,32155,0,0,no,1.000000
38,,4984.444263,7356.062277,0,32155,0,0,yes,1.000000
37,,26762.874755,28050.883305,0,32155,0,0,yes,1.000000
36,,15500.726426,17637.418270,0,32155,0,0,yes,1.000000
35,,4321.629423,5608.391457,0,32155,0,0,yes,1.000000
34,,12487.611973,13019.022856,0,32155,0,0,yes,1.000000
33,,4188.856553,5071.240514,0,32155,0,0,yes,1.000000
32,,6694.156811,6694.158705,0,32155,0,0,yes,1.000000
31,,9672.871268,9823.489524,0,32155,0,0,yes,1.000000
30,,13193.560603,14254.368973,0,32155,0,0,yes,1.000000
29,,22566.555716,23158.011729,0,32155,0,0,yes,1.000000
28,,15235.589900,17355.121392,0,32155,0,0,yes,1.000000
27,,10465.622874,11011.124054,0,32155,0,0,yes,1.000000
26,,14322.058918,15867.086985,0,32155,0,0,yes,1.000000
25,,4089.902324,5300.309824,0,32155,0,0,yes,1.000000
24,,18030.277203,19307.245881,0,32155,0,0,yes,1.000000
23,,25395.227247,25994.808804,0,32155,0,0,yes,1.000000
22,,12656.859265,13693.317037,0,32155,0,0,yes,1.000000
21,,13390.439936,15813.551531,0,32155,0,0,yes,1.000000
20,,3348.266431,3788.437340,0,32155,0,0,yes,1.000000
19,,23947.354445,24971.715508,0,32155,0,0,yes,1.000000
18,,18495.892873,20455.932293,0,32155,0,0,yes,1.000000
17,,12818.473338,14764.001846,0,32155,0,0,yes,1.000000
16,,9688.716173,9688.716275,0,32155,0,0,yes,1.000000
15,,17262.571553,18193.599391,0,32155,0,0,yes,1.000000
14,,4815.167799,6133.218010,0,32155,0,0,yes,1.000000
13,,4084.468792,4628.124847,0,32155,0,0,yes,1.000000
12,,13024.234349,15152.777964,0,32155,0,0,yes,1.000000
11,,23568.319112,26203.292805,0,32155,0,0,yes,1.000000
10,,15046.048886,15730.766663,0,32155,0,0,yes,1.000000
9,,8469.001650,9194.110982,0,32155,0,0,yes,1.000000
8,,13158.827930,14079.352324,0,32155,0,0,yes,1.000000
7,,9812.883133,12256.257279,0,32155,0,0,yes,1.000000
6,,11483.152189,14380.115838,0,32155,0,0,yes,1.000000
5,,15636.123884,15636.307802,0,32155,0,0,yes,1.000000
4,,29996.203599,31831.599274,0,32155,0,0,yes,1.000000
3,,2049.624702,3043.196176,0,32155,0,0,yes,1.000000
2,,19400.094377,21467.282022,0,32155,0,0,yes,1.000000
1,,22184.618321,22982.876751,0,32155,0,0,yes,1.000000
