id,target,spf,name
1,22184.6183213711,25,amecro
2,19400.0943773657,25,amegfi
3,2049.62470150906,25,amekes
4,29996.2035988033,25,amerob
5,15636.1238835141,25,annhum
6,11483.1521886268,25,baleag
7,9812.8831334386,25,barswa
8,13158.8279302848,25,batpig1
9,8469.00164996367,25,belkin1
10,15046.0488859557,25,bewwre
11,23568.3191117898,25,bkhgro
12,13024.2343490034,25,bnhcow
13,4084.46879188912,25,brdowl
14,4815.16779938488,25,brebla
15,17262.5715534244,25,brncre
16,9688.71617344113,25,bushti
17,12818.4733384497,25,cangoo
18,18495.8928725079,25,cedwax
19,23947.3544451088,25,chbchi
20,3348.26643142533,25,chispa
21,13390.4399357812,25,comrav
22,12656.8592651212,25,coohaw
23,25395.227246502,25,daejun
24,18030.2772033824,25,dowwoo
25,4089.90232386656,25,eucdov
26,14322.0589175281,25,eursta
27,10465.6228738898,25,evegro
28,15235.5899002184,25,foxspa
29,22566.5557164688,25,gockin
30,13193.5606034962,25,haiwoo
31,9672.87126805095,25,houfin
32,6694.15681105508,25,houspa
33,4188.85655292984,25,houwre
34,12487.611973064,25,hutvir
35,4321.62942337092,25,macwar
36,15500.7264257056,25,moudov
37,26762.8747546792,25,norfli
38,4984.44426348983,25,norhar1
39,15033.3648242846,25,olsfly
40,14523.4113869028,25,orcwar
41,2495.46266306576,25,osprey
42,20350.324210229,25,pacwre1
43,13040.9784362309,25,pasfly
44,19513.600841272,25,pilwoo
45,20047.8461047702,25,pinsis
46,17141.3225605197,25,purfin
47,509.806293354396,25,purmar
48,19371.8624962583,25,rebnut
49,14868.3618602531,25,rebsap
50,15756.0457635328,25,redcro
51,16523.8923416189,25,rethaw
52,11491.8645102985,25,rewbla
53,4715.79282478054,25,rocpig
54,20364.1279116187,25,rufhum
55,7273.82919217197,25,savspa
56,25972.7901891679,25,sonspa
57,29837.6705565144,25,sora
58,26293.404155273,25,spotow
59,25933.2073111922,25,stejay
60,19610.0506417905,25,swathr
61,6095.51118985028,25,towwar
62,10551.0506958995,25,treswa
63,19653.6071721191,25,varthr
64,18016.9124790698,25,vigswa
65,20868.4167813297,25,warvir
66,17044.088343823,25,westan
67,14743.7099786639,25,whcspa
68,4475.28471646741,25,wilsni1
69,17788.397500091,25,wlswar
70,7497.54690056736,25,wooduc
71,9061.30620631887,25,yelwar
72,14882.1034231782,25,yerwar
