"planning_unit","number"
50625,0
50624,0
50623,0
50622,0
50621,0
50620,0
50619,0
50618,0
50617,0
50616,0
50615,0
50614,0
50613,0
50612,100
50611,99
50610,100
50609,100
50608,100
50607,100
50606,100
50605,100
50604,100
50603,100
50602,100
50601,100
50600,100
50599,100
50598,100
50597,100
50596,100
50595,100
50594,100
50593,97
50592,99
50591,74
50590,54
50589,77
50588,86
50587,7
50586,0
50585,0
50584,0
50583,0
50582,0
50581,0
50580,0
50579,0
50578,0
50577,0
50576,0
50575,0
50574,0
50573,0
50572,0
50571,0
50570,0
50569,0
50568,0
50567,0
50566,0
50565,0
50564,0
50563,0
50562,0
50561,0
50560,7
50559,17
50558,78
50557,61
50556,12
50555,1
50554,2
50553,15
50552,5
50551,0
50550,0
50549,0
50548,0
50547,39
50546,4
50545,11
50544,1
50543,0
50542,0
50541,0
50540,0
50539,0
50538,0
50537,2
50536,0
50535,0
50534,12
50533,100
50532,100
50531,0
50530,0
50529,0
50528,0
50527,0
50526,0
50525,0
50524,0
50523,0
50522,0
50521,0
50520,0
50519,0
50518,0
50517,100
50516,100
50515,100
50514,95
50513,94
50512,68
50511,0
50510,0
50509,0
50508,0
50507,0
50506,0
50505,0
50504,0
50503,0
50502,0
50501,0
50500,0
50499,0
50498,9
50497,1
50496,0
50495,0
50494,0
50493,0
50492,0
50491,0
50490,0
50489,0
50488,0
50487,0
50486,0
50485,0
50484,0
50483,0
50482,0
50481,0
50480,0
50479,0
50478,0
50477,0
50476,0
50475,0
50474,0
50473,0
50472,0
50471,0
50470,0
50469,0
50468,0
50467,0
50466,0
50465,0
50464,0
50463,0
50462,0
50461,0
50460,0
50459,0
50458,0
50457,0
50456,0
50455,0
50454,0
50453,0
50452,0
50451,0
50450,0
50449,0
50448,0
50447,0
50446,0
50445,0
50444,0
50443,0
50442,0
50441,0
50440,0
50439,0
50438,0
50437,0
50436,0
50435,0
50434,0
50433,0
50432,0
50431,0
50430,0
50429,0
50428,25
50427,29
50426,23
50425,39
50424,35
50423,43
50422,39
50421,35
50420,20
50419,39
50418,2
50417,0
50416,0
50415,0
50414,0
50413,0
50412,15
50411,11
50410,2
50409,0
50408,0
50407,0
50406,0
50405,0
50404,0
50403,0
50402,0
50401,0
50400,0
50399,0
50398,0
50397,0
50396,0
50395,0
50394,0
50393,0
50392,0
50391,0
50390,0
50389,59
50388,100
50387,100
50386,100
50385,100
50384,100
50383,100
50382,100
50381,100
50380,100
50379,100
50378,100
50377,100
50376,100
50375,100
50374,100
50373,100
50372,100
50371,100
50370,100
50369,94
50368,100
50367,99
50366,84
50365,56
50364,70
50363,61
50362,0
50361,1
50360,3
50359,1
50358,1
50357,0
50356,0
50355,0
50354,0
50353,0
50352,0
50351,0
50350,0
50349,0
50348,0
50347,0
50346,0
50345,0
50344,0
50343,0
50342,0
50341,0
50340,0
50339,0
50338,0
50337,0
50336,1
50335,7
50334,9
50333,28
50332,14
50331,1
50330,0
50329,0
50328,21
50327,31
50326,0
50325,0
50324,0
50323,0
50322,64
50321,84
50320,89
50319,8
50318,0
50317,0
50316,0
50315,0
50314,6
50313,45
50312,44
50311,0
50310,0
50309,0
50308,100
50307,100
50306,0
50305,0
50304,0
50303,0
50302,0
50301,0
50300,0
50299,0
50298,0
50297,0
50296,0
50295,0
50294,0
50293,3
50292,100
50291,100
50290,99
50289,97
50288,87
50287,59
50286,16
50285,65
50284,100
50283,100
50282,99
50281,99
50280,0
50279,0
50278,0
50277,56
50276,3
50275,30
50274,6
50273,0
50272,2
50271,5
50270,31
50269,2
50268,0
50267,0
50266,0
50265,0
50264,0
50263,0
50262,0
50261,0
50260,0
50259,0
50258,0
50257,0
50256,0
50255,0
50254,0
50253,0
50252,0
50251,0
50250,0
50249,0
50248,3
50247,0
50246,0
50245,0
50244,0
50243,1
50242,28
50241,0
50240,0
50239,0
50238,0
50237,0
50236,0
50235,0
50234,0
50233,0
50232,0
50231,0
50230,0
50229,0
50228,0
50227,0
50226,0
50225,0
50224,0
50223,0
50222,0
50221,0
50220,0
50219,0
50218,0
50217,0
50216,0
50215,0
50214,1
50213,0
50212,0
50211,0
50210,0
50209,0
50208,0
50207,0
50206,0
50205,0
50204,1
50203,35
50202,28
50201,38
50200,32
50199,33
50198,22
50197,38
50196,41
50195,46
50194,42
50193,13
50192,0
50191,0
50190,0
50189,0
50188,0
50187,13
50186,21
50185,0
50184,0
50183,0
50182,0
50181,0
50180,0
50179,0
50178,0
50177,0
50176,0
50175,0
50174,0
50173,0
50172,0
50171,0
50170,0
50169,0
50168,0
50167,0
50166,0
50165,0
50164,0
50163,100
50162,100
50161,100
50160,100
50159,100
50158,100
50157,100
50156,100
50155,100
50154,100
50153,100
50152,100
50151,100
50150,100
50149,100
50148,100
50147,100
50146,100
50145,100
50144,99
50143,98
50142,98
50141,98
50140,89
50139,61
50138,31
50137,2
50136,0
50135,0
50134,0
50133,0
50132,0
50131,0
50130,0
50129,0
50128,0
50127,0
50126,0
50125,0
50124,0
50123,0
50122,0
50121,0
50120,0
50119,0
50118,0
50117,0
50116,0
50115,0
50114,0
50113,0
50112,0
50111,0
50110,1
50109,5
50108,11
50107,3
50106,2
50105,0
50104,7
50103,65
50102,78
50101,0
50100,0
50099,0
50098,2
50097,38
50096,88
50095,94
50094,52
50093,0
50092,0
50091,0
50090,0
50089,0
50088,52
50087,90
50086,7
50085,1
50084,94
50083,100
50082,100
50081,0
50080,0
50079,0
50078,0
50077,0
50076,0
50075,0
50074,0
50073,0
50072,0
50071,0
50070,0
50069,0
50068,2
50067,59
50066,98
50065,100
50064,96
50063,79
50062,24
50061,6
50060,50
50059,79
50058,100
50057,99
50056,97
50055,98
50054,0
50053,99
50052,72
50051,42
50050,64
50049,31
50048,8
50047,11
50046,26
50045,41
50044,48
50043,0
50042,0
50041,0
50040,0
50039,0
50038,0
50037,0
50036,0
50035,0
50034,0
50033,0
50032,0
50031,0
50030,0
50029,0
50028,0
50027,0
50026,0
50025,0
50024,2
50023,2
50022,3
50021,0
50020,0
50019,0
50018,54
50017,100
50016,98
50015,0
50014,0
50013,0
50012,0
50011,0
50010,0
50009,0
50008,0
50007,0
50006,0
50005,0
50004,0
50003,0
50002,0
50001,0
50000,0
49999,0
49998,0
49997,0
49996,0
49995,0
49994,0
49993,0
49992,0
49991,0
49990,0
49989,0
49988,0
49987,0
49986,0
49985,0
49984,0
49983,0
49982,0
49981,0
49980,0
49979,2
49978,40
49977,25
49976,37
49975,42
49974,26
49973,32
49972,41
49971,48
49970,47
49969,44
49968,1
49967,0
49966,0
49965,0
49964,0
49963,0
49962,12
49961,20
49960,0
49959,0
49958,0
49957,0
49956,0
49955,0
49954,0
49953,0
49952,0
49951,0
49950,0
49949,0
49948,0
49947,0
49946,0
49945,0
49944,0
49943,0
49942,0
49941,0
49940,0
49939,0
49938,100
49937,100
49936,100
49935,100
49934,100
49933,100
49932,100
49931,100
49930,100
49929,100
49928,99
49927,100
49926,100
49925,100
49924,98
49923,71
49922,93
49921,86
49920,94
49919,47
49918,14
49917,12
49916,52
49915,15
49914,9
49913,11
49912,1
49911,0
49910,0
49909,0
49908,1
49907,0
49906,0
49905,0
49904,0
49903,0
49902,0
49901,0
49900,0
49899,0
49898,0
49897,0
49896,0
49895,0
49894,0
49893,0
49892,0
49891,0
49890,0
49889,0
49888,0
49887,0
49886,0
49885,37
49884,66
49883,51
49882,25
49881,14
49880,0
49879,0
49878,12
49877,7
49876,0
49875,0
49874,0
49873,0
49872,28
49871,89
49870,95
49869,96
49868,0
49867,0
49866,0
49865,0
49864,0
49863,0
49862,55
49861,6
49860,7
49859,81
49858,99
49857,97
49856,0
49855,0
49854,0
49853,0
49852,0
49851,0
49850,0
49849,0
49848,0
49847,0
49846,0
49845,1
49844,1
49843,0
49842,0
49841,5
49840,69
49839,82
49838,23
49837,0
49836,0
49835,1
49834,1
49833,40
49832,87
49831,99
49830,86
49829,95
49828,99
49827,7
49826,7
49825,73
49824,33
49823,1
49822,16
49821,16
49820,9
49819,9
49818,1
49817,0
49816,0
49815,0
49814,0
49813,0
49812,0
49811,0
49810,0
49809,0
49808,0
49807,0
49806,0
49805,0
49804,0
49803,0
49802,0
49801,0
49800,16
49799,29
49798,15
49797,15
49796,49
49795,73
49794,83
49793,93
49792,99
49791,92
49790,0
49789,0
49788,0
49787,0
49786,0
49785,0
49784,0
49783,0
49782,0
49781,0
49780,0
49779,0
49778,0
49777,0
49776,0
49775,0
49774,0
49773,0
49772,0
49771,0
49770,0
49769,0
49768,0
49767,0
49766,0
49765,0
49764,0
49763,0
49762,0
49761,0
49760,0
49759,0
49758,0
49757,0
49756,0
49755,0
49754,1
49753,33
49752,34
49751,35
49750,33
49749,36
49748,36
49747,52
49746,44
49745,51
49744,41
49743,2
49742,0
49741,0
49740,0
49739,0
49738,0
49737,0
49736,0
49735,0
49734,0
49733,0
49732,0
49731,0
49730,0
49729,0
49728,0
49727,0
49726,0
49725,0
49724,0
49723,0
49722,0
49721,0
49720,0
49719,0
49718,0
49717,0
49716,0
49715,0
49714,24
49713,100
49712,99
49711,99
49710,100
49709,100
49708,100
49707,100
49706,100
49705,100
49704,100
49703,99
49702,98
49701,100
49700,100
49699,66
49698,6
49697,2
49696,5
49695,12
49694,0
49693,0
49692,0
49691,1
49690,1
49689,0
49688,9
49687,17
49686,1
49685,1
49684,2
49683,0
49682,7
49681,20
49680,38
49679,0
49678,0
49677,0
49676,0
49675,0
49674,0
49673,0
49672,0
49671,1
49670,3
49669,0
49668,0
49667,0
49666,0
49665,0
49664,0
49663,0
49662,0
49661,4
49660,92
49659,99
49658,94
49657,84
49656,38
49655,0
49654,0
49653,0
49652,0
49651,0
49650,0
49649,0
49648,0
49647,1
49646,7
49645,16
49644,9
49643,0
49642,0
49641,0
49640,0
49639,0
49638,0
49637,20
49636,3
49635,2
49634,0
49633,1
49632,0
49631,0
49630,0
49629,0
49628,0
49627,0
49626,0
49625,0
49624,0
49623,0
49622,0
49621,0
49620,0
49619,0
49618,0
49617,0
49616,0
49615,0
49614,3
