"planning_unit","number"
50625,87
50624,94
50623,96
50622,96
50621,78
50620,78
50619,94
50618,35
50617,34
50616,94
50615,70
50614,12
50613,95
50612,99
50611,94
50610,89
50609,88
50608,88
50607,93
50606,90
50605,87
50604,90
50603,93
50602,91
50601,90
50600,89
50599,83
50598,91
50597,86
50596,86
50595,92
50594,88
50593,93
50592,89
50591,83
50590,88
50589,88
50588,87
50587,82
50586,83
50585,81
50584,81
50583,86
50582,79
50581,72
50580,84
50579,69
50578,65
50577,73
50576,74
50575,77
50574,81
50573,59
50572,77
50571,80
50570,82
50569,80
50568,70
50567,69
50566,81
50565,87
50564,81
50563,90
50562,89
50561,91
50560,91
50559,93
50558,93
50557,92
50556,91
50555,87
50554,79
50553,97
50552,92
50551,74
50550,59
50549,56
50548,77
50547,82
50546,91
50545,90
50544,84
50543,86
50542,86
50541,74
50540,84
50539,83
50538,84
50537,82
50536,79
50535,77
50534,97
50533,90
50532,89
50531,83
50530,58
50529,69
50528,70
50527,67
50526,70
50525,82
50524,64
50523,81
50522,69
50521,67
50520,73
50519,85
50518,92
50517,98
50516,90
50515,91
50514,94
50513,86
50512,93
50511,84
50510,69
50509,80
50508,79
50507,72
50506,78
50505,58
50504,0
50503,32
50502,88
50501,84
50500,62
50499,86
50498,88
50497,92
50496,88
50495,59
50494,15
50493,4
50492,22
50491,2
50490,9
50489,90
50488,80
50487,59
50486,84
50485,100
50484,98
50483,97
50482,99
50481,93
50480,95
50479,96
50478,98
50477,98
50476,95
50475,97
50474,99
50473,100
50472,97
50471,91
50470,94
50469,92
50468,81
50467,64
50466,64
50465,51
50464,34
50463,29
50462,31
50461,34
50460,31
50459,55
50458,58
50457,37
50456,8
50455,21
50454,41
50453,12
50452,36
50451,61
50450,21
50449,7
50448,8
50447,40
50446,77
50445,85
50444,93
50443,85
50442,73
50441,73
50440,75
50439,90
50438,84
50437,76
50436,76
50435,64
50434,72
50433,57
50432,29
50431,44
50430,59
50429,88
50428,91
50427,95
50426,86
50425,88
50424,94
50423,87
50422,94
50421,93
50420,87
50419,92
50418,92
50417,77
50416,83
50415,83
50414,85
50413,93
50412,95
50411,95
50410,96
