id,target,spf,name
1,29579.4910951614,25,amecro
2,25866.7925031543,25,amegfi
3,2732.83293534541,25,amekes
4,39994.9381317377,25,amerob
5,20848.1651780188,25,annhum
6,15310.8695848357,25,baleag
7,13083.8441779181,25,barswa
8,17545.1039070465,25,batpig1
9,11292.0021999516,25,belkin1
10,20061.3985146076,25,bewwre
11,31424.4254823864,25,bkhgro
12,17365.6457986712,25,bnhcow
13,5445.9583891855,25,brdowl
14,6420.22373251318,25,brebla
15,23016.7620712325,25,brncre
16,12918.2882312548,25,bushti
17,17091.2977845997,25,cangoo
18,24661.1904966772,25,cedwax
19,31929.8059268117,25,chbchi
20,4464.35524190043,25,chispa
21,17853.9199143749,25,comrav
22,16875.8123534949,25,coohaw
23,33860.3029953361,25,daejun
24,24040.3696045099,25,dowwoo
25,5453.20309848874,25,eucdov
26,19096.0785567041,25,eursta
27,13954.1638318531,25,evegro
28,20314.1198669579,25,foxspa
29,30088.7409552917,25,gockin
30,17591.414137995,25,haiwoo
31,12897.1616907346,25,houfin
32,8925.54241474011,25,houspa
33,5585.14207057312,25,houwre
34,16650.1492974187,25,hutvir
35,5762.17256449456,25,macwar
36,20667.6352342742,25,moudov
37,35683.8330062389,25,norfli
38,6645.92568465311,25,norhar1
39,20044.4864323794,25,olsfly
40,19364.5485158704,25,orcwar
41,3327.28355075435,25,osprey
42,27133.7656136386,25,pacwre1
43,17387.9712483078,25,pasfly
44,26018.1344550293,25,pilwoo
45,26730.4614730269,25,pinsis
46,22855.0967473596,25,purfin
47,679.741724472528,25,purmar
48,25829.1499950111,25,rebnut
49,19824.4824803375,25,rebsap
50,21008.0610180438,25,redcro
51,22031.8564554919,25,rethaw
52,15322.4860137314,25,rewbla
53,6287.72376637405,25,rocpig
54,27152.170548825,25,rufhum
55,9698.43892289596,25,savspa
56,34630.3869188905,25,sonspa
57,39783.5607420192,25,sora
58,35057.8722070307,25,spotow
59,34577.6097482562,25,stejay
60,26146.734189054,25,swathr
61,8127.34825313371,25,towwar
62,14068.0675945327,25,treswa
63,26204.8095628254,25,varthr
64,24022.5499720931,25,vigswa
65,27824.5557084396,25,warvir
66,22725.4511250973,25,westan
67,19658.2799715519,25,whcspa
68,5967.04628862322,25,wilsni1
69,23717.8633334547,25,wlswar
70,9996.72920075648,25,wooduc
71,12081.7416084252,25,yelwar
72,19842.8045642376,25,yerwar
