"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,12401.752853,14720.324394,0,27915,0,0,yes,1.000000
71,,7551.088505,9031.066478,0,27915,0,0,yes,1.000000
70,,6247.955750,7549.209773,0,27915,0,0,yes,1.000000
69,,14823.664583,16591.531257,0,27915,0,0,yes,1.000000
68,,3729.403930,5281.903331,0,27915,0,0,yes,1.000000
67,,12286.424982,14478.182440,0,27915,0,0,yes,1.000000
66,,14203.406953,16003.684196,0,27915,0,0,yes,1.000000
65,,17390.347318,19950.539739,0,27915,0,0,yes,1.000000
64,,15014.093733,17809.810525,0,27915,0,0,yes,1.000000
63,,16378.005977,16825.063161,0,27915,0,0,yes,1.000000
62,,8792.542247,11715.356661,0,27915,0,0,yes,1.000000
61,,5079.592658,5810.988871,0,27915,0,0,yes,1.000000
60,,16341.708868,20130.870871,0,27915,0,0,yes,1.000000
59,,21611.006093,23643.013622,0,27915,0,0,yes,1.000000
58,,21911.170129,23962.258176,0,27915,0,0,yes,1.000000
57,,24864.725464,27174.381276,0,27205,0,0,yes,1.000000
56,,21643.991824,24820.663216,0,27915,0,0,yes,1.000000
55,,6061.524327,8634.787426,0,27915,0,0,yes,1.000000
54,,16970.106593,19924.776666,0,27915,0,0,yes,1.000000
53,,3929.827354,4242.481388,0,27915,0,0,yes,1.000000
52,,9576.553759,12528.060818,0,27915,0,0,yes,1.000000
51,,13769.910285,17632.028428,0,27915,0,0,yes,1.000000
50,,13130.038136,13650.471487,0,27915,0,0,yes,1.000000
49,,12390.301550,14172.154356,0,27915,0,0,yes,1.000000
48,,16143.218747,17164.473977,0,27915,0,0,yes,1.000000
47,,424.838578,530.425101,0,27915,0,0,yes,1.000000
46,,14284.435467,16599.826386,0,27915,0,0,yes,1.000000
45,,16706.538421,17405.094035,0,27915,0,0,yes,1.000000
44,,16261.334034,17733.005695,0,27915,0,0,yes,1.000000
43,,10867.482030,12544.302462,0,27915,0,0,yes,1.000000
42,,16958.603509,19285.338152,0,27915,0,0,yes,1.000000
41,,2079.552219,2494.018516,0,27915,0,0,yes,1.000000
40,,12102.842822,14799.550064,0,27915,0,0,yes,1.000000
39,,12527.804020,12527.809260,0,27915,0,0,yes,1.000000
38,,4153.703553,7200.007256,0,27915,0,0,yes,1.000000
37,,22302.395629,24218.263381,0,27915,0,0,yes,1.000000
36,,12917.272021,15539.809787,0,27915,0,0,yes,1.000000
35,,3601.357853,5206.063883,0,27915,0,0,yes,1.000000
34,,10406.343311,11219.789367,0,27915,0,0,yes,1.000000
33,,3490.713794,4932.314452,0,27915,0,0,yes,1.000000
32,,5578.464009,5578.464820,0,27915,0,0,yes,1.000000
31,,8060.726057,8285.235529,0,27915,0,0,yes,1.000000
30,,10994.633836,12703.443207,0,27915,0,0,yes,1.000000
29,,18805.463097,19742.834816,0,27915,0,0,yes,1.000000
28,,12696.324917,15296.756092,0,27915,0,0,yes,1.000000
27,,8721.352395,9323.731898,0,27915,0,0,yes,1.000000
26,,11935.049098,14030.024970,0,27915,0,0,yes,1.000000
25,,3408.251937,4883.089103,0,27915,0,0,yes,1.000000
24,,15025.231003,16530.155336,0,27915,0,0,yes,1.000000
23,,21162.689372,22246.856548,0,27915,0,0,yes,1.000000
22,,10547.382721,11833.505735,0,27915,0,0,yes,1.000000
21,,11158.699946,14768.375334,0,27915,0,0,yes,1.000000
20,,2790.222026,3256.392878,0,27915,0,0,yes,1.000000
19,,19956.128704,21565.227345,0,27915,0,0,yes,1.000000
18,,15413.244060,18068.056048,0,27915,0,0,yes,1.000000
17,,10682.061115,13376.027806,0,27915,0,0,yes,1.000000
16,,8073.930145,8078.985538,0,27915,0,0,yes,1.000000
15,,14385.476295,15697.142424,0,27915,0,0,yes,1.000000
14,,4012.639833,5623.986399,0,27915,0,0,yes,1.000000
13,,3403.723993,4323.003525,0,27915,0,0,yes,1.000000
12,,10853.528624,13560.227377,0,27915,0,0,yes,1.000000
11,,19640.265926,23228.696782,0,27915,0,0,yes,1.000000
10,,12538.374072,13661.281673,0,27915,0,0,yes,1.000000
9,,7057.501375,8188.798618,0,27915,0,0,yes,1.000000
8,,10965.689942,12509.076581,0,27915,0,0,yes,1.000000
7,,8177.402611,11275.594813,0,27915,0,0,yes,1.000000
6,,9569.293491,13648.110749,0,27915,0,0,yes,1.000000
5,,13030.103236,13030.110870,0,27915,0,0,yes,1.000000
4,,24996.836332,27674.006033,0,27915,0,0,yes,1.000000
3,,1708.020585,2965.801839,0,27915,0,0,yes,1.000000
2,,16166.745314,18800.037394,0,27915,0,0,yes,1.000000
1,,18487.181934,19570.855880,0,27915,0,0,yes,1.000000
