"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,12401.752853,14737.552960,0,27934,0,0,yes,1.000000
71,,7551.088505,9033.217102,0,27934,0,0,yes,1.000000
70,,6247.955750,7554.274119,0,27934,0,0,yes,1.000000
69,,14823.664583,16613.878875,0,27934,0,0,yes,1.000000
68,,3729.403930,5290.888857,0,27934,0,0,yes,1.000000
67,,12286.424982,14503.390297,0,27934,0,0,yes,1.000000
66,,14203.406953,16014.103392,0,27934,0,0,yes,1.000000
65,,17390.347318,19959.553203,0,27934,0,0,yes,1.000000
64,,15014.093733,17820.194849,0,27934,0,0,yes,1.000000
63,,16378.005977,16828.631634,0,27934,0,0,yes,1.000000
62,,8792.542247,11725.237155,0,27934,0,0,yes,1.000000
61,,5079.592658,5816.208516,0,27934,0,0,yes,1.000000
60,,16341.708868,20143.413662,0,27934,0,0,yes,1.000000
59,,21611.006093,23657.549206,0,27934,0,0,yes,1.000000
58,,21911.170129,23987.293284,0,27934,0,0,yes,1.000000
57,,24864.725464,27181.383261,0,27213,0,0,yes,1.000000
56,,21643.991824,24840.017258,0,27934,0,0,yes,1.000000
55,,6061.524327,8653.306592,0,27934,0,0,yes,1.000000
54,,16970.106593,19961.051445,0,27934,0,0,yes,1.000000
53,,3929.827354,4243.021602,0,27934,0,0,yes,1.000000
52,,9576.553759,12539.850971,0,27934,0,0,yes,1.000000
51,,13769.910285,17657.220778,0,27934,0,0,yes,1.000000
50,,13130.038136,13670.624869,0,27934,0,0,yes,1.000000
49,,12390.301550,14169.109364,0,27934,0,0,yes,1.000000
48,,16143.218747,17170.831703,0,27934,0,0,yes,1.000000
47,,424.838578,529.428172,0,27934,0,0,yes,1.000000
46,,14284.435467,16633.485984,0,27934,0,0,yes,1.000000
45,,16706.538421,17419.508362,0,27934,0,0,yes,1.000000
44,,16261.334034,17738.848484,0,27934,0,0,yes,1.000000
43,,10867.482030,12550.450534,0,27934,0,0,yes,1.000000
42,,16958.603509,19294.203866,0,27934,0,0,yes,1.000000
41,,2079.552219,2502.752348,0,27934,0,0,yes,1.000000
40,,12102.842822,14821.844831,0,27934,0,0,yes,1.000000
39,,12527.804020,12527.827228,0,27934,0,0,yes,1.000000
38,,4153.703553,7204.126761,0,27934,0,0,yes,1.000000
37,,22302.395629,24231.433785,0,27934,0,0,yes,1.000000
36,,12917.272021,15544.098266,0,27934,0,0,yes,1.000000
35,,3601.357853,5208.410284,0,27934,0,0,yes,1.000000
34,,10406.343311,11215.051470,0,27934,0,0,yes,1.000000
33,,3490.713794,4938.988830,0,27934,0,0,yes,1.000000
32,,5578.464009,5578.466860,0,27934,0,0,yes,1.000000
31,,8060.726057,8279.483464,0,27934,0,0,yes,1.000000
30,,10994.633836,12706.182919,0,27934,0,0,yes,1.000000
29,,18805.463097,19757.643831,0,27934,0,0,yes,1.000000
28,,12696.324917,15321.734639,0,27934,0,0,yes,1.000000
27,,8721.352395,9328.694706,0,27934,0,0,yes,1.000000
26,,11935.049098,14044.393083,0,27934,0,0,yes,1.000000
25,,3408.251937,4905.341492,0,27934,0,0,yes,1.000000
24,,15025.231003,16545.647279,0,27934,0,0,yes,1.000000
23,,21162.689372,22262.536720,0,27934,0,0,yes,1.000000
22,,10547.382721,11821.419968,0,27934,0,0,yes,1.000000
21,,11158.699946,14782.642256,0,27934,0,0,yes,1.000000
20,,2790.222026,3265.319275,0,27934,0,0,yes,1.000000
19,,19956.128704,21578.787268,0,27934,0,0,yes,1.000000
18,,15413.244060,18080.516993,0,27934,0,0,yes,1.000000
17,,10682.061115,13395.829916,0,27934,0,0,yes,1.000000
16,,8073.930145,8077.976756,0,27934,0,0,yes,1.000000
15,,14385.476295,15701.062828,0,27934,0,0,yes,1.000000
14,,4012.639833,5640.318528,0,27934,0,0,yes,1.000000
13,,3403.723993,4320.425493,0,27934,0,0,yes,1.000000
12,,10853.528624,13595.095050,0,27934,0,0,yes,1.000000
11,,19640.265926,23256.446636,0,27934,0,0,yes,1.000000
10,,12538.374072,13656.823945,0,27934,0,0,yes,1.000000
9,,7057.501375,8184.527944,0,27934,0,0,yes,1.000000
8,,10965.689942,12512.651023,0,27934,0,0,yes,1.000000
7,,8177.402611,11291.212708,0,27934,0,0,yes,1.000000
6,,9569.293491,13665.363734,0,27934,0,0,yes,1.000000
5,,13030.103236,13030.116656,0,27934,0,0,yes,1.000000
4,,24996.836332,27693.392058,0,27934,0,0,yes,1.000000
3,,1708.020585,2971.900173,0,27934,0,0,yes,1.000000
2,,16166.745314,18818.482534,0,27934,0,0,yes,1.000000
1,,18487.181934,19576.883652,0,27934,0,0,yes,1.000000
