"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,9921.402282,12739.267955,0,23531,0,0,yes,1.000000
71,,6040.870804,7611.835415,0,23531,0,0,yes,1.000000
70,,4998.364600,6559.345173,0,23531,0,0,yes,1.000000
69,,11858.931667,14099.812463,0,23531,0,0,yes,1.000000
68,,2983.523144,4630.214249,0,23531,0,0,yes,1.000000
67,,9829.139986,12427.630246,0,23531,0,0,yes,1.000000
66,,11362.725563,13668.320676,0,23531,0,0,yes,1.000000
65,,13912.277854,17042.613161,0,23531,0,0,yes,1.000000
64,,12011.274986,15269.246712,0,23531,0,0,yes,1.000000
63,,13102.404781,13842.279450,0,23531,0,0,yes,1.000000
62,,7034.033797,10419.456825,0,23531,0,0,yes,1.000000
61,,4063.674127,5061.300693,0,23531,0,0,yes,1.000000
60,,13073.367095,17641.329238,0,23531,0,0,yes,1.000000
59,,17288.804874,19832.050987,0,23531,0,0,yes,1.000000
58,,17528.936104,20108.862455,0,23531,0,0,yes,1.000000
57,,19891.780371,22815.491280,0,22847,0,0,yes,1.000000
56,,17315.193459,21202.187831,0,23531,0,0,yes,1.000000
55,,4849.219461,7804.468458,0,23531,0,0,yes,1.000000
54,,13576.085274,17164.472368,0,23531,0,0,yes,1.000000
53,,3143.861883,3571.254435,0,23531,0,0,yes,1.000000
52,,7661.243007,11145.374707,0,23531,0,0,yes,1.000000
51,,11015.928228,15366.874424,0,23531,0,0,yes,1.000000
50,,10504.030509,11175.640225,0,23531,0,0,yes,1.000000
49,,9912.241240,12211.144673,0,23531,0,0,yes,1.000000
48,,12914.574998,14258.671076,0,23531,0,0,yes,1.000000
47,,339.870862,462.309776,0,23531,0,0,yes,1.000000
46,,11427.548374,14306.334526,0,23531,0,0,yes,1.000000
45,,13365.230737,14375.270770,0,23531,0,0,yes,1.000000
44,,13009.067228,14896.142585,0,23531,0,0,yes,1.000000
43,,8693.985624,10824.735589,0,23531,0,0,yes,1.000000
42,,13566.882807,16497.713136,0,23531,0,0,yes,1.000000
41,,1663.641775,2194.055355,0,23531,0,0,yes,1.000000
40,,9682.274258,12910.606472,0,23531,0,0,yes,1.000000
39,,10022.243216,10022.253075,0,23531,0,0,yes,1.000000
38,,3322.962842,6855.851368,0,23531,0,0,yes,1.000000
37,,17841.916503,20266.491814,0,23531,0,0,yes,1.000000
36,,10333.817617,13342.572464,0,23531,0,0,yes,1.000000
35,,2881.086282,4716.890815,0,23531,0,0,yes,1.000000
34,,8325.074649,9442.605573,0,23531,0,0,yes,1.000000
33,,2792.571035,4492.717319,0,23531,0,0,yes,1.000000
32,,4462.771207,4462.772386,0,23531,0,0,yes,1.000000
31,,6448.580845,6744.038087,0,23531,0,0,yes,1.000000
30,,8795.707069,11000.284122,0,23531,0,0,yes,1.000000
29,,15044.370478,16322.860009,0,23531,0,0,yes,1.000000
28,,10157.059933,13071.283554,0,23531,0,0,yes,1.000000
27,,6977.081916,7615.042123,0,23531,0,0,yes,1.000000
26,,9548.039278,12058.719615,0,23531,0,0,yes,1.000000
25,,2726.601549,4394.381076,0,23531,0,0,yes,1.000000
24,,12020.184802,13763.664953,0,23531,0,0,yes,1.000000
23,,16930.151498,18442.924930,0,23531,0,0,yes,1.000000
22,,8437.906177,9860.165152,0,23531,0,0,yes,1.000000
21,,8926.959957,13336.100791,0,23531,0,0,yes,1.000000
20,,2232.177621,2682.593165,0,23531,0,0,yes,1.000000
19,,15964.902963,18062.775221,0,23531,0,0,yes,1.000000
18,,12330.595248,15509.143366,0,23531,0,0,yes,1.000000
17,,8545.648892,11795.798360,0,23531,0,0,yes,1.000000
16,,6459.144116,6462.244211,0,23531,0,0,yes,1.000000
15,,11508.381036,13149.214823,0,23531,0,0,yes,1.000000
14,,3210.111866,5041.685113,0,23531,0,0,yes,1.000000
13,,2722.979195,3823.600715,0,23531,0,0,yes,1.000000
12,,8682.822899,11781.129241,0,23531,0,0,yes,1.000000
11,,15712.212741,20073.248561,0,23531,0,0,yes,1.000000
10,,10030.699257,11463.757894,0,23531,0,0,yes,1.000000
9,,5646.001100,7092.305780,0,23531,0,0,yes,1.000000
8,,8772.551954,10766.935742,0,23531,0,0,yes,1.000000
7,,6541.922089,10115.200065,0,23531,0,0,yes,1.000000
6,,7655.434792,12469.798345,0,23531,0,0,yes,1.000000
5,,10424.082589,10424.092273,0,23531,0,0,yes,1.000000
4,,19997.469066,23370.228519,0,23531,0,0,yes,1.000000
3,,1366.416468,2840.938993,0,23531,0,0,yes,1.000000
2,,12933.396252,16022.891546,0,23531,0,0,yes,1.000000
1,,14789.745548,16239.488250,0,23531,0,0,yes,1.000000
