"planning_unit","number"
50625,4
50624,26
50623,38
50622,2
50621,0
50620,0
50619,0
50618,0
50617,0
50616,0
50615,0
50614,0
50613,41
50612,100
50611,100
50610,100
50609,100
50608,100
50607,100
50606,100
50605,100
50604,100
50603,100
50602,100
50601,100
50600,100
50599,100
50598,100
50597,100
50596,100
50595,100
50594,100
50593,100
50592,98
50591,96
50590,91
50589,98
50588,99
50587,57
50586,13
50585,8
50584,9
50583,1
50582,0
50581,0
50580,0
50579,0
50578,0
50577,0
50576,0
50575,0
50574,0
50573,0
50572,2
50571,2
50570,3
50569,2
50568,0
50567,0
50566,0
50565,29
50564,6
50563,5
50562,1
50561,48
50560,87
50559,92
50558,100
50557,99
50556,90
50555,75
50554,54
50553,84
50552,88
50551,6
50550,0
50549,0
50548,1
50547,92
50546,63
50545,71
50544,40
50543,16
50542,5
50541,2
50540,3
50539,9
50538,16
50537,40
50536,0
50535,0
50534,100
50533,100
50532,100
50531,1
50530,0
50529,0
50528,0
50527,0
50526,0
50525,0
50524,0
50523,0
50522,0
50521,0
50520,0
50519,0
50518,84
50517,100
50516,100
50515,100
50514,100
50513,100
50512,99
50511,29
50510,0
50509,0
50508,0
50507,0
50506,0
50505,0
50504,0
50503,0
50502,54
50501,0
50500,0
50499,0
50498,58
50497,36
50496,4
50495,0
50494,0
50493,0
50492,0
50491,0
50490,0
50489,6
50488,1
50487,0
50486,0
50485,28
50484,93
50483,95
50482,80
50481,61
50480,38
50479,28
50478,21
50477,49
50476,64
50475,33
50474,98
50473,45
50472,4
50471,0
50470,0
50469,0
50468,0
50467,0
50466,0
50465,0
50464,0
50463,0
50462,0
50461,0
50460,0
50459,0
50458,0
50457,0
50456,0
50455,0
50454,0
50453,0
50452,0
50451,0
50450,0
50449,0
50448,0
50447,0
50446,0
50445,0
50444,1
50443,0
50442,0
50441,0
50440,0
50439,12
50438,0
50437,0
50436,0
50435,0
50434,0
50433,0
50432,0
50431,0
50430,0
50429,9
50428,90
50427,79
50426,84
50425,87
50424,86
50423,91
50422,92
50421,90
50420,79
50419,89
50418,47
50417,1
50416,0
50415,2
50414,6
50413,32
50412,93
50411,95
50410,81
50409,3
50408,0
50407,0
50406,0
50405,0
50404,0
50403,0
50402,0
50401,0
50400,0
50399,6
50398,24
50397,0
50396,0
50395,0
50394,0
50393,0
50392,0
50391,1
50390,44
50389,100
50388,100
50387,100
50386,100
50385,100
50384,100
50383,100
50382,100
50381,100
50380,100
50379,100
50378,100
50377,100
50376,100
50375,100
50374,100
50373,100
50372,100
50371,100
50370,100
50369,100
50368,100
50367,100
50366,98
50365,87
50364,93
50363,92
50362,34
50361,22
50360,28
50359,22
50358,14
50357,0
50356,0
50355,0
50354,0
50353,0
50352,0
50351,0
50350,0
50349,10
50348,4
50347,1
50346,1
50345,0
50344,0
50343,0
50342,0
50341,0
50340,5
50339,14
50338,8
50337,25
50336,58
50335,75
50334,92
50333,99
50332,84
50331,64
50330,41
50329,62
50328,93
50327,96
50326,3
50325,0
50324,0
50323,3
50322,97
50321,100
50320,100
50319,67
50318,1
50317,0
50316,0
50315,13
50314,66
50313,93
50312,92
50311,0
50310,0
50309,54
50308,100
50307,100
50306,0
50305,0
50304,0
50303,0
50302,0
50301,0
50300,0
50299,0
50298,0
50297,0
50296,0
50295,0
50294,1
50293,95
50292,100
50291,100
50290,100
50289,100
50288,99
50287,97
50286,81
50285,96
50284,100
50283,100
50282,100
50281,100
50280,0
50279,0
50278,0
50277,99
50276,71
50275,92
50274,71
50273,54
50272,28
50271,49
50270,84
50269,18
50268,0
50267,0
50266,0
50265,0
50264,0
50263,42
50262,2
50261,0
50260,10
50259,90
50258,94
50257,81
50256,57
50255,36
50254,23
50253,29
50252,44
50251,66
50250,83
50249,94
50248,99
50247,96
50246,12
50245,0
50244,0
50243,72
50242,95
50241,5
50240,0
50239,0
50238,0
50237,0
50236,0
50235,0
50234,0
50233,0
50232,0
50231,0
50230,0
50229,0
50228,0
50227,0
50226,0
50225,0
50224,0
50223,0
50222,0
50221,0
50220,0
50219,0
50218,0
50217,0
50216,0
50215,10
50214,51
50213,25
50212,0
50211,0
50210,0
50209,0
50208,0
50207,0
50206,0
50205,0
50204,48
50203,93
50202,87
50201,86
50200,91
50199,85
50198,68
50197,86
50196,92
50195,94
50194,94
50193,69
50192,2
50191,0
50190,0
50189,0
50188,52
50187,92
50186,91
50185,15
50184,0
50183,0
50182,0
50181,0
50180,0
50179,0
50178,0
50177,0
50176,0
50175,0
50174,6
50173,78
50172,3
50171,0
50170,0
50169,0
50168,0
50167,0
50166,0
50165,4
50164,99
50163,100
50162,100
50161,100
50160,100
50159,100
50158,100
50157,100
50156,100
50155,100
50154,100
50153,100
50152,100
50151,100
50150,100
50149,100
50148,100
50147,100
50146,100
50145,100
50144,100
50143,100
50142,100
50141,100
50140,97
50139,97
50138,86
