spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
72,0,24803.5,0,0,9921.4,50625,0,0,0
71,1,15102.2,0,0,6040.87,50625,0,0,0
70,2,12495.9,0,0,4998.36,50625,0,0,0
69,3,29647.3,0,0,11858.9,50625,0,0,0
68,4,7458.81,0,0,2983.52,50625,0,0,0
67,5,24572.8,0,0,9829.14,50625,0,0,0
66,6,28406.8,0,0,11362.7,50625,0,0,0
65,7,34780.7,0,0,13912.3,50625,0,0,0
64,8,30028.2,0,0,12011.3,50625,0,0,0
63,9,32756,0,0,13102.4,50625,0,0,0
62,10,17585.1,0,0,7034.03,50625,0,0,0
61,11,10159.2,0,0,4063.67,50625,0,0,0
60,12,32683.4,0,0,13073.4,50625,0,0,0
59,13,43222,0,0,17288.8,50625,0,0,0
58,14,43822.3,0,0,17528.9,50625,0,0,0
57,15,49729.5,0,0,19891.8,49769,0,0,0
56,16,43288,0,0,17315.2,50625,0,0,0
55,17,12123,0,0,4849.22,50625,0,0,0
54,18,33940.2,0,0,13576.1,50625,0,0,0
53,19,7859.65,0,0,3143.86,50625,0,0,0
52,20,19153.1,0,0,7661.24,50625,0,0,0
51,21,27539.8,0,0,11015.9,50625,0,0,0
50,22,26260.1,0,0,10504,50625,0,0,0
49,23,24780.6,0,0,9912.24,50625,0,0,0
48,24,32286.4,0,0,12914.6,50625,0,0,0
47,25,849.677,0,0,339.871,50625,0,0,0
46,26,28568.9,0,0,11427.5,50625,0,0,0
45,27,33413.1,0,0,13365.2,50625,0,0,0
44,28,32522.7,0,0,13009.1,50625,0,0,0
43,29,21735,0,0,8693.99,50625,0,0,0
42,30,33917.2,0,0,13566.9,50625,0,0,0
41,31,4159.1,0,0,1663.64,50625,0,0,0
40,32,24205.7,0,0,9682.27,50625,0,0,0
39,33,25055.6,0,0,10022.2,50625,0,0,0
38,34,8307.41,0,0,3322.96,50625,0,0,0
37,35,44604.8,0,0,17841.9,50625,0,0,0
36,36,25834.5,0,0,10333.8,50625,0,0,0
35,37,7202.72,0,0,2881.09,50625,0,0,0
34,38,20812.7,0,0,8325.07,50625,0,0,0
33,39,6981.43,0,0,2792.57,50625,0,0,0
32,40,11156.9,0,0,4462.77,50625,0,0,0
31,41,16121.5,0,0,6448.58,50625,0,0,0
30,42,21989.3,0,0,8795.71,50625,0,0,0
29,43,37610.9,0,0,15044.4,50625,0,0,0
28,44,25392.6,0,0,10157.1,50625,0,0,0
27,45,17442.7,0,0,6977.08,50625,0,0,0
26,46,23870.1,0,0,9548.04,50625,0,0,0
25,47,6816.5,0,0,2726.6,50625,0,0,0
24,48,30050.5,0,0,12020.2,50625,0,0,0
23,49,42325.4,0,0,16930.2,50625,0,0,0
22,50,21094.8,0,0,8437.91,50625,0,0,0
21,51,22317.4,0,0,8926.96,50625,0,0,0
20,52,5580.44,0,0,2232.18,50625,0,0,0
19,53,39912.3,0,0,15964.9,50625,0,0,0
18,54,30826.5,0,0,12330.6,50625,0,0,0
17,55,21364.1,0,0,8545.65,50625,0,0,0
16,56,16147.9,0,0,6459.14,50625,0,0,0
15,57,28771,0,0,11508.4,50625,0,0,0
14,58,8025.28,0,0,3210.11,50625,0,0,0
13,59,6807.45,0,0,2722.98,50625,0,0,0
12,60,21707.1,0,0,8682.82,50625,0,0,0
11,61,39280.5,0,0,15712.2,50625,0,0,0
10,62,25076.7,0,0,10030.7,50625,0,0,0
9,63,14115,0,0,5646,50625,0,0,0
8,64,21931.4,0,0,8772.55,50625,0,0,0
7,65,16354.8,0,0,6541.92,50625,0,0,0
6,66,19138.6,0,0,7655.43,50625,0,0,0
5,67,26060.2,0,0,10424.1,50625,0,0,0
4,68,49993.7,0,0,19997.5,50625,0,0,0
3,69,3416.04,0,0,1366.42,50625,0,0,0
2,70,32333.5,0,0,12933.4,50625,0,0,0
1,71,36974.4,0,0,14789.7,50625,0,0,0
